"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",0.640103166991879,1.8966765436253,1.8966765436253,0.310424305243603,2.06202657517285,2.80720674642929,32.628746852686
"CountryUSA","CountryUSA",0.397706112447155,1.48840654146811,1.48840654146811,0.559742223241052,0.710516548393176,1.64361651088576,86.3456800474463
"SexMale","SexMale",0.631401839133184,1.88024453300961,1.88024453300961,0.321355858027686,1.96480575461856,2.72251787719685,34.1179305003919
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.11146000338295,0.329078154951828,0.329078154951828,0.584286730806545,-1.90225097504559,1.11037921527462,2.8131249341697
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.371166531000175,0.689929037418853,0.689929037418853,0.430241214717246,-0.862694038375903,1.34565518786157,4.9696175613572
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.500182673378619,0.606419872827003,0.606419872827003,0.293618847580989,-1.70351010331738,1.40645289037125,2.93940515808293
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.197374555443045,0.82088310948713,0.82088310948713,0.325783281303144,-0.605846176800542,1.54262423335509,4.7326827311758
"feeding_first_yearFormula","feeding_first_yearFormula",-0.194880698279896,0.822932829501981,0.822932829501981,0.348765910992878,-0.558772208341988,1.51501691666053,5.10477259564825
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6758299627685,350836184.888721,350836184.888721,2360.68882736181,0.00833478336268371,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.34549347959254,0.707870947395816,0.707870947395816,3772.08542562947,-9.15921673578973e-05,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.4140685009577,270036718.175136,270036718.175136,2360.6888148477,0.00822389989686555,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.3910923327397,263903043.118688,263903043.118688,2360.68889051247,0.00821416680981213,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.9773549432956,474302064.370467,474302064.370467,2360.68886472353,0.00846251077040396,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.2119354179631,220616270.551381,220616270.551381,2360.68879359354,0.00813827535001675,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.442676861304,102223981.546498,102223981.546498,2360.68878851135,0.00781241345791028,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.5931560649397,118824249.560148,118824249.560148,2360.68881290985,0.00787615714670211,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.0957387489214,533910483.470213,533910483.470213,2360.68879838101,0.00851265900134881,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.241607204165609,1.27329395001646,1.27329395001646,35261.4595439289,6.85187758222583e-06,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.302595590656364,1.35336703948173,1.35336703948173,35261.4595419188,8.5814822922074e-06,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.403214296651685,1.49662757958031,1.49662757958031,35261.4595428866,1.14349860124558e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",-0.0425374955424794,0.958354530824235,0.958354530824235,35261.459542423,-1.20634528730448e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",20.78783495387,1066699302.67099,1066699302.67099,35182.3517114002,0.000590859733436581,1,Inf
