"","term","estimate","std.error","statistic","p.value"
"1","get(i)",-0.124251436071007,0.746789817884784,-0.166380731358842,0.867857336749086
"2","CountryUSA",0.405303325547304,0.558955640197008,0.725108213246497,0.468385646117386
"3","SexMale",0.717992506940127,0.323673507064285,2.21826158542388,0.0265370017925718
"4","Delivery.ModeVaginal",-1.21571352050381,0.582432840888343,-2.08730249250638,0.0368607996266167
"5","HLA.CategoryLow/No Risk",-0.378367856782714,0.423920161485021,-0.892545085511539,0.372100838244261
"6","HLA.CategoryStandard Risk",-0.51622670227952,0.294152323472995,-1.7549638778458,0.0792654866207416
"7","feeding_first_yearBreastmilk_and_formula",-0.174885837960062,0.326169063713227,-0.536181561700236,0.591833075324359
"8","feeding_first_yearFormula",-0.077845702546986,0.341513723738967,-0.227943116589032,0.819690462720056
"9","Age.at.Gluten.Introduction..months.11",19.6706528383164,2326.63857260002,0.00845453740429242,0.993254335498934
"10","Age.at.Gluten.Introduction..months.15",-0.406254367414905,3726.16441163214,-0.000109027493834325,0.999913008646139
"11","Age.at.Gluten.Introduction..months.36",19.5383842761008,2326.63855942638,0.00839768781315043,0.993299693299772
"12","Age.at.Gluten.Introduction..months.4",19.7448257688137,2326.63862879357,0.00848641706729163,0.993228900120522
"13","Age.at.Gluten.Introduction..months.5",19.994211670923,2326.6386153666,0.00859360432637391,0.993143380180044
"14","Age.at.Gluten.Introduction..months.6",19.3214359733804,2326.63853858617,0.00830444250490301,0.993374089697304
"15","Age.at.Gluten.Introduction..months.7",18.4582244021779,2326.63853354802,0.00793343019812794,0.993670104930652
"16","Age.at.Gluten.Introduction..months.8",18.6573334245169,2326.63855954141,0.00801900808701214,0.993601825826382
"17","Age.at.Gluten.Introduction..months.9",20.163521064097,2326.63854521332,0.00866637454519104,0.993085320108078
"18","Age.at.Solid.Introduction..months.4",0.377685953973497,33760.7709510566,1.11871246815137e-05,0.999991073965937
"19","Age.at.Solid.Introduction..months.5",0.409350673011768,33760.7709490066,1.21250392542891e-05,0.99999032561838
"20","Age.at.Solid.Introduction..months.6",0.620044455520111,33760.7709499036,1.83658263148129e-05,0.999985346190738
"21","Age.at.Solid.Introduction..months.7",0.112273782340246,33760.7709494348,3.32556926820196e-06,0.999997346579625
"22","Age.at.Solid.Introduction..months.8",21.0129344852804,33680.5136554197,0.000623889964988675,0.999502207861589
