"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",-0.124251436071007,0.883157755247692,0.883157755247692,0.746789817884784,-0.166380731358842,1.22672454655602,45.4615160877282
"CountryUSA","CountryUSA",0.405303325547304,1.49975734578785,1.49975734578785,0.558955640197008,0.725108213246497,1.6511316830472,88.7158394917767
"SexMale","SexMale",0.717992506940127,2.05031308717487,2.05031308717487,0.323673507064285,2.21826158542388,2.96595293748976,47.780648197273
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.21571352050381,0.296498381126443,0.296498381126443,0.582432840888343,-2.08730249250638,1.09930614445642,2.53075436784096
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.378367856782714,0.684978480335014,0.684978480335014,0.423920161485021,-0.892545085511539,1.34773466583839,4.81741986686836
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.51622670227952,0.59676808865203,0.59676808865203,0.294152323472995,-1.7549638778458,1.39834809146777,2.89260211017768
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.174885837960062,0.839552860365657,0.839552860365657,0.326169063713227,-0.536181561700236,1.55738616958359,4.90889747714338
"feeding_first_yearFormula","feeding_first_yearFormula",-0.077845702546986,0.92510715720989,0.92510715720989,0.341513723738967,-0.227943116589032,1.60591050693366,6.09039232811726
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6706528383164,349024555.858077,349024555.858077,2326.63857260002,0.00845453740429242,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.406254367414905,0.666140701384307,0.666140701384307,3726.16441163214,-0.000109027493834325,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5383842761008,305782393.962232,305782393.962232,2326.63855942638,0.00839768781315043,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7448257688137,375897015.47085,375897015.47085,2326.63862879357,0.00848641706729163,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.994211670923,482365011.612981,482365011.612981,2326.6386153666,0.00859360432637391,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.3214359733804,246146137.742818,246146137.742818,2326.63853858617,0.00830444250490301,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4582244021779,103825732.456484,103825732.456484,2326.63853354802,0.00793343019812794,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6573334245169,126700098.727911,126700098.727911,2326.63855954141,0.00801900808701214,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.163521064097,571354870.516713,571354870.516713,2326.63854521332,0.00866637454519104,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.377685953973497,1.45890470769959,1.45890470769959,33760.7709510566,1.11871246815137e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.409350673011768,1.50583968524632,1.50583968524632,33760.7709490066,1.21250392542891e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.620044455520111,1.85901068329621,1.85901068329621,33760.7709499036,1.83658263148129e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.112273782340246,1.11881913163751,1.11881913163751,33760.7709494348,3.32556926820196e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.0129344852804,1335984733.90852,1335984733.90852,33680.5136554197,0.000623889964988675,1,Inf
