"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",0.44519245505252,1.56079054895657,1.56079054895657,0.526566426377908,0.845463046542608,1.74380810615754,79.9062454920002
"CountryUSA","CountryUSA",0.399032981492248,1.49038277284468,1.49038277284468,0.559279552568534,0.713476792884093,1.6454438424441,86.5075685005984
"SexMale","SexMale",0.74245434064774,2.10108597212595,2.10108597212595,0.325872381611302,2.278359206069,3.03232598678236,53.4894924441158
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.19660944386849,0.302217160997349,0.302217160997349,0.581589908189654,-2.05747972414659,1.1014912236832,2.57246376018913
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.364746425892295,0.694372703494546,0.694372703494546,0.423696389037055,-0.860867440294364,1.35344156529477,4.91898536965265
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.496169256294627,0.60885857920414,0.60885857920414,0.295120543366386,-1.68124269030856,1.40696660876284,2.96161324316242
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.182144119589504,0.833481210789468,0.833481210789468,0.326946399068602,-0.55710697566449,1.55136546331495,4.86443824602813
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0720080006788206,0.930523450962158,0.930523450962158,0.340699964190209,-0.211353120772914,1.6115956594829,6.13735727143341
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6827361666877,353267517.098135,353267517.098135,2329.76774150348,0.00844836840001299,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.395966961087269,0.673028931714202,0.673028931714202,3729.09448050012,-0.00010618313994398,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5428703119912,307157226.223993,307157226.223993,2329.76772860051,0.00838833419833258,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7679931549307,384707227.506875,384707227.506875,2329.76779764652,0.00848496282543687,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.9814927919127,476268720.568371,476268720.568371,2329.76778377579,0.00857660275460126,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.3149397213249,244552293.003308,244552293.003308,2329.7677074986,0.00829050023277329,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4619222256762,104210372.416729,104210372.416729,2329.7677024696,0.00792436181774954,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6318820133973,123516093.020009,123516093.020009,2329.76772696728,0.00799731312170374,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1732213203676,576924127.120446,576924127.120446,2329.76771337861,0.00865889814015514,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.384320675321561,1.46861631518832,1.46861631518832,33748.4461565466,1.1387803561054e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.418217162829942,1.51925056333286,1.51925056333286,33748.4461545008,1.23921901741887e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.621440272229976,1.8616073332739,1.8616073332739,33748.446155399,1.84138928757927e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.107838574106364,1.11386792374794,1.11386792374794,33748.4461549232,3.19536412465712e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.03945858873,1371894665.28613,1371894665.28613,33667.9239366197,0.000624911076439908,1,Inf
