"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",1.29057970517797,3.63489311146129,3.63489311146129,1.04549630858429,1.23441823235661,1.59734440507865,1786143975704.49
"CountryUSA","CountryUSA",0.407690944157467,1.50334247259197,1.50334247259197,0.559281109414915,0.728955327284286,1.65258231003438,89.9298399679148
"SexMale","SexMale",0.730516220521289,2.07615208340222,2.07615208340222,0.324429310257942,2.25169612431282,3.00197422438642,50.4586376783987
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.19586209063151,0.302443108391633,0.302443108391633,0.582797617459212,-2.05193373275107,1.10131891685803,2.58005674266652
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.382619288940938,0.682072522414522,0.682072522414522,0.422588737646207,-0.905417619674635,1.34707500464327,4.76590916268879
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.511332949935364,0.599695681499273,0.599695681499273,0.29376944068115,-1.74059272043327,1.40100439605611,2.905386594997
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.177688414342693,0.837203243375677,0.837203243375677,0.325501527360216,-0.545891184547511,1.55635635768432,4.87696018815463
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0610960681790915,0.940732860941852,0.940732860941852,0.341264014373423,-0.179028744918408,1.61919265929093,6.27347340734712
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.69918928497,359127948.322873,359127948.322873,2329.97637252382,0.00845467341097194,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.3653011936234,0.693987594758114,0.693987594758114,3731.28456647199,-9.79022604992041e-05,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5454628099238,307954563.799366,307954563.799366,2329.97635968933,0.00838869576021356,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7790119882939,388969692.911321,388969692.911321,2329.9764292746,0.00848893222256834,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.9937530814577,482143854.814179,482143854.814179,2329.97641490855,0.00858109676712861,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.341233938771,251067890.040136,251067890.040136,2329.97633854679,0.00830104307017733,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4459633522186,102560492.400153,102560492.400153,2329.97633385349,0.00791680288087361,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6699795640389,128312539.943102,128312539.943102,2329.97635836895,0.00801294807004324,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1744110643523,577610927.60766,577610927.60766,2329.97634459461,0.00865863342825585,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.376089488582398,1.45657747499236,1.45657747499236,33906.2373411635,1.10920443574496e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.417880172459762,1.51873867677839,1.51873867677839,33906.2373391384,1.23245811170382e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.603105619529105,1.82778640427673,1.82778640427673,33906.2373400547,1.77874534847497e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.118497637237673,1.12580421409106,1.12580421409106,33906.2373395582,3.49486249538584e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.0303216941682,1359416899.20261,1359416899.20261,33826.0897006769,0.000621718971369824,1,Inf
