"","term","estimate","std.error","statistic","p.value"
"1","get(i)",0.459517220472103,0.622592689462159,0.738070376105874,0.460471684366754
"2","CountryUSA",0.374702680167663,0.560725034456472,0.668246746876343,0.503976100084487
"3","SexMale",0.717475004887749,0.323277722386555,2.21937657686736,0.0264611158237728
"4","Delivery.ModeVaginal",-1.20493446837133,0.582284958806966,-2.06932095728542,0.0385159783008475
"5","HLA.CategoryLow/No Risk",-0.399337427761227,0.423725428268244,-0.942443858970914,0.34596544132911
"6","HLA.CategoryStandard Risk",-0.555333421609409,0.299181617101859,-1.85617494480064,0.063428626139225
"7","feeding_first_yearBreastmilk_and_formula",-0.173641259669403,0.326577195234973,-0.531700505127028,0.594933442029554
"8","feeding_first_yearFormula",-0.0787642516455317,0.339178750766099,-0.232220478044771,0.816366773270691
"9","Age.at.Gluten.Introduction..months.11",19.6611136009675,2327.84111680695,0.00844607196728971,0.993261089699264
"10","Age.at.Gluten.Introduction..months.15",-0.383366673612596,3727.19975389987,-0.000102856487155396,0.999917932397065
"11","Age.at.Gluten.Introduction..months.36",19.5130906701234,2327.84110478132,0.00838248393760383,0.993311823810372
"12","Age.at.Gluten.Introduction..months.4",19.7322607837644,2327.84117285317,0.00847663535376817,0.993236704518006
"13","Age.at.Gluten.Introduction..months.5",20.0033635610226,2327.84115924531,0.00859309643253653,0.993143785405733
"14","Age.at.Gluten.Introduction..months.6",19.3126969448042,2327.84108271686,0.00829639836163729,0.993380507773924
"15","Age.at.Gluten.Introduction..months.7",18.4477080954414,2327.84107789339,0.00792481422835616,0.993676979263808
"16","Age.at.Gluten.Introduction..months.8",18.6034007519945,2327.84110335046,0.00799169699564919,0.993623616226281
"17","Age.at.Gluten.Introduction..months.9",20.1566460587397,2327.84108864004,0.00865894418528178,0.993091248455091
"18","Age.at.Solid.Introduction..months.4",0.385812863754956,33773.3934103955,1.14235741450902e-05,0.999990885306561
"19","Age.at.Solid.Introduction..months.5",0.405877748004728,33773.3934083579,1.2017677439078e-05,0.999990411280715
"20","Age.at.Solid.Introduction..months.6",0.60686884456983,33773.3934092896,1.79688442086754e-05,0.999985662936631
"21","Age.at.Solid.Introduction..months.7",0.128786431520834,33773.3934087507,3.81325115786159e-06,0.999996957465775
"22","Age.at.Solid.Introduction..months.8",20.9609640322091,33693.0743668775,0.000622114913111492,0.999503624147802
