"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",1.55492839265198,4.73474747031025,4.73474747031025,1.1023389340427,1.41057196170098,1.72588166498274,691757930131998592
"CountryUSA","CountryUSA",0.39844681485611,1.48950941617944,1.48950941617944,0.559357822923052,0.712329028981726,1.64483813599002,86.3407880027584
"SexMale","SexMale",0.701987237046797,2.01775849035565,2.01775849035565,0.326550807688835,2.14970295745129,2.89770534819184,45.9129339613092
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.21793835731766,0.295839453887455,0.295839453887455,0.581752549798327,-2.09356771661745,1.09921340208138,2.52242177906987
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.459590087263813,0.63154246975742,0.63154246975742,0.436863152253371,-1.05202300741826,1.30767744329745,4.42304970108717
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.539184518339752,0.58322366670583,0.58322366670583,0.295768301880626,-1.82299629443513,1.38630996863942,2.83301765621673
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.185318364877567,0.830839731552867,0.830839731552867,0.326549189295117,-0.567505205808631,1.54973615991676,4.83417510744806
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0777826148901981,0.925165521893742,0.925165521893742,0.340078816596115,-0.228719376492581,1.6081025221765,6.06025674898755
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6782494156043,351686044.17381,351686044.17381,2425.61416800448,0.00811268736601805,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.40291985254429,0.668365664984488,0.668365664984488,3876.31860548927,-0.000103943946190005,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.6609264272056,345646255.542018,345646255.542018,2425.61415573186,0.00810554571539986,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7385955685727,373562381.963215,373562381.963215,2425.6142224202,0.0081375658940844,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",20.0181870954592,494069668.943904,494069668.943904,2425.61420803474,0.00825283222251495,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.3191470924631,245583382.830456,245583382.830456,2425.61413576944,0.00796464153451794,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4981745715043,108057556.264148,108057556.264148,2425.61412978815,0.00762618189939383,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6625467532188,127362352.763187,127362352.763187,2425.61415374089,0.00769394700490042,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.2031041409684,594424424.160377,594424424.160377,2425.61413988258,0.00832906759932823,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.884218382981641,2.42109128558822,2.42109128558822,43680.1248180858,2.02430370028505e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.851713594806599,2.34365949566156,2.34365949566156,43680.1248164418,1.94988818916104e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",1.09295505378045,2.98307621139684,2.98307621139684,43680.1248171587,2.50217932836838e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.587011315825493,1.79860491257184,1.79860491257184,43680.1248167516,1.34388653486716e-05,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.4845286512494,2140978171.96415,2140978171.96415,43612.7261115653,0.000492620630874805,1,Inf
