"","term","estimate","std.error","statistic","p.value"
"1","get(i)",1.55492839265198,1.1023389340427,1.41057196170098,0.158370863858724
"2","CountryUSA",0.39844681485611,0.559357822923052,0.712329028981726,0.476261052184546
"3","SexMale",0.701987237046797,0.326550807688835,2.14970295745129,0.0315787183765319
"4","Delivery.ModeVaginal",-1.21793835731766,0.581752549798327,-2.09356771661745,0.0362985059135997
"5","HLA.CategoryLow/No Risk",-0.459590087263813,0.436863152253371,-1.05202300741826,0.292788993980803
"6","HLA.CategoryStandard Risk",-0.539184518339752,0.295768301880626,-1.82299629443513,0.0683039521263831
"7","feeding_first_yearBreastmilk_and_formula",-0.185318364877567,0.326549189295117,-0.567505205808631,0.570370990743638
"8","feeding_first_yearFormula",-0.0777826148901981,0.340078816596115,-0.228719376492581,0.819087033690315
"9","Age.at.Gluten.Introduction..months.11",19.6782494156043,2425.61416800448,0.00811268736601805,0.993527083007368
"10","Age.at.Gluten.Introduction..months.15",-0.40291985254429,3876.31860548927,-0.000103943946190005,0.999917064730295
"11","Age.at.Gluten.Introduction..months.36",19.6609264272056,2425.61415573186,0.00810554571539986,0.993532781032787
"12","Age.at.Gluten.Introduction..months.4",19.7385955685727,2425.6142224202,0.0081375658940844,0.99350723346915
"13","Age.at.Gluten.Introduction..months.5",20.0181870954592,2425.61420803474,0.00825283222251495,0.9934152673337
"14","Age.at.Gluten.Introduction..months.6",19.3191470924631,2425.61413576944,0.00796464153451794,0.99364520267399
"15","Age.at.Gluten.Introduction..months.7",18.4981745715043,2425.61412978815,0.00762618189939383,0.993915246184835
"16","Age.at.Gluten.Introduction..months.8",18.6625467532188,2425.61415374089,0.00769394700490042,0.993861179039661
"17","Age.at.Gluten.Introduction..months.9",20.2031041409684,2425.61413988258,0.00832906759932823,0.993354442394153
"18","Age.at.Solid.Introduction..months.4",0.884218382981641,43680.1248180858,2.02430370028505e-05,0.999983848393313
"19","Age.at.Solid.Introduction..months.5",0.851713594806599,43680.1248164418,1.94988818916104e-05,0.999984442143187
"20","Age.at.Solid.Introduction..months.6",1.09295505378045,43680.1248171587,2.50217932836838e-05,0.999980035497457
"21","Age.at.Solid.Introduction..months.7",0.587011315825493,43680.1248167516,1.34388653486716e-05,0.999989277336824
"22","Age.at.Solid.Introduction..months.8",21.4845286512494,43612.7261115653,0.000492620630874805,0.999606945620189
