"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",-0.946112303405529,0.388247481643106,0.388247481643106,0.781971763288713,-1.20990596824941,1.0874636639874,6.03592417231138
"CountryUSA","CountryUSA",0.399471906456595,1.49103708263606,1.49103708263606,0.560461865542634,0.712754838493481,1.64390678280402,87.5790860826217
"SexMale","SexMale",0.708130687649238,2.0301926451693,2.0301926451693,0.323308120672033,2.19026570126759,2.93674123547579,45.8756878047679
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.18632314464924,0.305341900595999,0.305341900595999,0.581217671140987,-2.04109958033514,1.10267126046361,2.59591017245625
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.361332338590951,0.696747403934632,0.696747403934632,0.424240563444083,-0.851715676732021,1.35440463050481,4.95430270435155
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.520495223047166,0.594226200582646,0.594226200582646,0.293864880133276,-1.77120594611751,1.39661520822182,2.8778302569656
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.167493979230158,0.845781709530524,0.845781709530524,0.32560242208392,-0.514412571497975,1.56328848476896,4.95835791330366
"feeding_first_yearFormula","feeding_first_yearFormula",-0.032091322116057,0.968418140047125,0.968418140047125,0.344315101593106,-0.0932033534619137,1.63747046008346,6.69734213237758
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.5775337102751,317991022.837453,317991022.837453,2317.96136104892,0.00844601382890001,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.514487287156776,0.597807019394179,0.597807019394179,3721.88673787035,-0.000138232924156946,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.6553988029092,343740923.732505,343740923.732505,2317.9613508193,0.00847960592438778,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.6838126541683,353648009.918732,353648009.918732,2317.96141750702,0.00849186380131311,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.9194219460918,447605107.901485,447605107.901485,2317.96140244248,0.00859350890187489,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.2235573767395,223195220.952601,223195220.952601,2317.96132690384,0.0082933037551653,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4063559949862,98577736.2097027,98577736.2097027,2317.9613222115,0.00794075199556185,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.5558993548369,114478701.990122,114478701.990122,2317.961346766,0.00800526694749502,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.0876508692059,529609695.274064,529609695.274064,2317.96133290064,0.00866608540189437,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.467038432996739,1.59526271296548,1.59526271296548,33733.3999131925,1.38449855098682e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.481496732055948,1.61849504362937,1.61849504362937,33733.3999111532,1.42735903681251e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.710208204460999,2.03441478878934,2.03441478878934,33733.3999120373,2.10535613461118e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.198353951033524,1.21939392318639,1.21939392318639,33733.3999115565,5.880046231734e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.0158822215699,1339928674.58365,1339928674.58365,33653.6669110292,0.000624475254869847,1,Inf
