"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",-1.00367109589259,0.366531396380795,0.366531396380795,0.639781292094352,-1.56877218558085,1.11026552548771,3.61243258230853
"CountryUSA","CountryUSA",0.404351117114368,1.49832994389574,1.49832994389574,0.560639498039672,0.72123194767443,1.64762191047814,89.6562618700792
"SexMale","SexMale",0.721072121303323,2.0566369934054,2.0566369934054,0.323305661637866,2.2303108385123,2.97825697170891,48.2189201934699
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.18617617695012,0.305386779290351,0.305386779290351,0.5811631785442,-2.04103807801702,1.10269861327388,2.59600963631483
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.382960287353242,0.681839976418464,0.681839976418464,0.424476643056146,-0.902194016132444,1.34545733797385,4.79101617853884
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.520704998083019,0.59410155983383,0.59410155983383,0.293688414505652,-1.77298447049568,1.39667870620278,2.87614097715728
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.167631395317093,0.845665493502758,0.845665493502758,0.3253063148693,-0.515303231615542,1.56359796401497,4.9526650228632
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0261411997604303,0.974197523439901,0.974197523439901,0.344025204017742,-0.0759862924435098,1.64275986272136,6.76642730509746
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.5276389758212,302514260.302896,302514260.302896,2321.49102027688,0.00841167973740092,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.452520154901492,0.636023253056044,0.636023253056044,3713.18983738486,-0.000121868305882307,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.6235416153542,332962895.014738,332962895.014738,2321.4910101028,0.00845299056940359,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.6370424339076,337488648.591289,337488648.591289,2321.49107624573,0.00845880590920225,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.855609890487,419934745.992708,419934745.992708,2321.49106071023,0.00855295556658851,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.1714129120426,211855058.404055,211855058.404055,2321.49098607075,0.00825823275949531,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.3620556069147,94306022.1253078,94306022.1253078,2321.49098153525,0.00790959592475844,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.5034939263869,108633884.24122,108633884.24122,2321.49100595295,0.00797052147905754,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.0338750454206,501881726.552904,501881726.552904,2321.49099217936,0.0086297448979603,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.529882766703004,1.69873314885694,1.69873314885694,33872.1456762051,1.56436138344564e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.554184419276853,1.74052087047368,1.74052087047368,33872.1456742167,1.63610662462017e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.771490633487647,2.16298807436855,2.16298807436855,33872.1456750785,2.27765504107191e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.262239302333168,1.29983755937506,1.29983755937506,33872.1456745708,7.74203396657102e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.3388073399766,1850658465.44403,1850658465.44403,33792.5013362307,0.00063146575412274,1,Inf
