"","term","estimate","std.error","statistic","p.value"
"1","get(i)",-1.6426527688818,0.8294910403254,-1.98031405889255,0.0476682500228621
"2","CountryUSA",0.394115798303428,0.559236458609251,0.704739099599377,0.480972614143956
"3","SexMale",0.738110724858738,0.324424261014065,2.27514034416414,0.0228975121524645
"4","Delivery.ModeVaginal",-1.19752431028858,0.582000527813422,-2.05760004168327,0.039628542658975
"5","HLA.CategoryLow/No Risk",-0.359452254409093,0.423978188906127,-0.847808363294554,0.396544704685006
"6","HLA.CategoryStandard Risk",-0.49226265835325,0.295025463373496,-1.66854295464679,0.095207992311494
"7","feeding_first_yearBreastmilk_and_formula",-0.172696822408544,0.325955997091298,-0.529816367698776,0.596239255767754
"8","feeding_first_yearFormula",-0.0712802146399054,0.341623846633484,-0.208651168067841,0.834720563238353
"9","Age.at.Gluten.Introduction..months.11",19.5927482867478,2308.2046381606,0.00848830643645235,0.993227392676335
"10","Age.at.Gluten.Introduction..months.15",-0.561085771705058,3721.86631582932,-0.000150753875634578,0.999879715810606
"11","Age.at.Gluten.Introduction..months.36",20.0257728412602,2308.20463256079,0.00867590878155505,0.993077713174068
"12","Age.at.Gluten.Introduction..months.4",19.6574699853077,2308.20469448265,0.00851634607290045,0.993205021091953
"13","Age.at.Gluten.Introduction..months.5",19.8801613068347,2308.20467936206,0.00861282428052661,0.99312804544288
"14","Age.at.Gluten.Introduction..months.6",19.2048681224646,2308.20460342032,0.00832026246460414,0.993361467631776
"15","Age.at.Gluten.Introduction..months.7",18.3657077748156,2308.20459883546,0.00795670703718443,0.993651533286314
"16","Age.at.Gluten.Introduction..months.8",18.5671650498558,2308.20462362435,0.00804398572805109,0.99358189719499
"17","Age.at.Gluten.Introduction..months.9",20.0659953736286,2308.20460956385,0.00869333476351569,0.99306380977643
"18","Age.at.Solid.Introduction..months.4",0.488472488756143,33784.6217215311,1.44584270554327e-05,0.999988463844279
"19","Age.at.Solid.Introduction..months.5",0.518131629424264,33784.6217195105,1.53363158458881e-05,0.999987763390367
"20","Age.at.Solid.Introduction..months.6",0.726081406165398,33784.6217204102,2.14914765710327e-05,0.999982852282656
"21","Age.at.Solid.Introduction..months.7",0.220510394685269,33784.6217199037,6.52694579544036e-06,0.999994792250721
"22","Age.at.Solid.Introduction..months.8",21.0467091770121,33705.6714463382,0.000624426343516696,0.999501779893526
