"","term","estimate","std.error","statistic","p.value"
"1","get(i)",-14.8543591934692,4931.26180407467,-0.0030122836271226,0.99759654903592
"2","CountryUSA",0.377935827102502,0.558344426791697,0.676886539862427,0.498477944862932
"3","SexMale",0.717554038074508,0.323536023904772,2.21784897216178,0.0265651317415337
"4","Delivery.ModeVaginal",-1.18193683358623,0.581128197064752,-2.03386591729008,0.041965116179588
"5","HLA.CategoryLow/No Risk",-0.377189735316828,0.423080054175024,-0.891532776349669,0.372643415895229
"6","HLA.CategoryStandard Risk",-0.511146260081734,0.293418954280008,-1.74203558640575,0.0815022174810576
"7","feeding_first_yearBreastmilk_and_formula",-0.176435968643968,0.325783128106808,-0.541574911105045,0.588111379194334
"8","feeding_first_yearFormula",-0.0862112687098384,0.3405661307513,-0.253141052281545,0.800159216572703
"9","Age.at.Gluten.Introduction..months.11",19.5825703982063,2302.9999181576,0.00850307038389839,0.993215613175721
"10","Age.at.Gluten.Introduction..months.15",-0.470112085618323,3712.27935407992,-0.000126637044462092,0.999898958257668
"11","Age.at.Gluten.Introduction..months.36",19.4513866306341,2302.99990458604,0.00844610830938375,0.993261060703502
"12","Age.at.Gluten.Introduction..months.4",19.6503066933422,2302.99997533818,0.00853248237245713,0.993192146655442
"13","Age.at.Gluten.Introduction..months.5",19.8946896750513,2302.99996182425,0.00863859748364579,0.993107482167027
"14","Age.at.Gluten.Introduction..months.6",19.2334261008036,2302.9998826546,0.00835146638333034,0.993336571371782
"15","Age.at.Gluten.Introduction..months.7",18.3704447534869,2302.99987804456,0.00797674586465237,0.993635545122643
"16","Age.at.Gluten.Introduction..months.8",18.5578206383366,2302.99990308863,0.00805810743346019,0.993570630069442
"17","Age.at.Gluten.Introduction..months.9",20.0649528480861,2302.99988980038,0.00871252879209877,0.993048495737326
"18","Age.at.Solid.Introduction..months.4",0.468635682770745,33789.1150437128,1.38694275409247e-05,0.999988933797898
"19","Age.at.Solid.Introduction..months.5",0.490589019355826,33789.1150416715,1.4519143776059e-05,0.999988415399345
"20","Age.at.Solid.Introduction..months.6",0.703212679514636,33789.1150425419,2.08118111003873e-05,0.999983394577242
"21","Age.at.Solid.Introduction..months.7",0.198789292319146,33789.1150420431,5.8832346473649e-06,0.999995305857907
"22","Age.at.Solid.Introduction..months.8",20.9787458720689,33710.5515321567,0.00062231986480723,0.999503460620039
