"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",-14.8543591934692,3.53861871497019e-07,3.53861871497019e-07,4931.26180407467,-0.0030122836271226,1,Inf
"CountryUSA","CountryUSA",0.377935827102502,1.45926929433213,1.45926929433213,0.558344426791697,0.676886539862427,1.62988285144488,78.1885003653635
"SexMale","SexMale",0.717554038074508,2.04941428578398,2.04941428578398,0.323536023904772,2.21784897216178,2.96540805770206,47.6500832146666
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.18193683358623,0.306684166799061,0.306684166799061,0.581128197064752,-2.03386591729008,1.10316410685899,2.60638093103317
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.377189735316828,0.685785943737956,0.685785943737956,0.423080054175024,-0.891532776349669,1.34887284134789,4.81387383581168
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.511146260081734,0.599807649049552,0.599807649049552,0.293418954280008,-1.74203558640575,1.40141734366987,2.9038372245963
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.176435968643968,0.838252451877988,0.838252451877988,0.325783128106808,-0.541574911105045,1.55683887345741,4.89093632874478
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0862112687098384,0.917400392747489,0.917400392747489,0.3405661307513,-0.253141052281545,1.60098324628562,5.97949968754207
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.5825703982063,319596684.598627,319596684.598627,2302.9999181576,0.00850307038389839,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.470112085618323,0.62493221844287,0.62493221844287,3712.27935407992,-0.000126637044462092,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.4513866306341,280304376.778273,280304376.778273,2302.99990458604,0.00844610830938375,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.6503066933422,341995006.260295,341995006.260295,2302.99997533818,0.00853248237245713,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.8946896750513,436670592.125476,436670592.125476,2302.99996182425,0.00863859748364579,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.2334261008036,225408777.524978,225408777.524978,2302.9998826546,0.00835146638333034,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.3704447534869,95100496.9911638,95100496.9911638,2302.99987804456,0.00797674586465237,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.5578206383366,114698859.456056,114698859.456056,2302.99990308863,0.00805810743346019,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.0649528480861,517724004.345453,517724004.345453,2302.99988980038,0.00871252879209877,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.468635682770745,1.59781278197968,1.59781278197968,33789.1150437128,1.38694275409247e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.490589019355826,1.63327796902036,1.63327796902036,33789.1150416715,1.4519143776059e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.703212679514636,2.02023265296192,2.02023265296192,33789.1150425419,2.08118111003873e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.198789292319146,1.21992489127237,1.21992489127237,33789.1150420431,5.8832346473649e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",20.9787458720689,1291081236.48188,1291081236.48188,33710.5515321567,0.00062231986480723,1,Inf
