"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",1.27334066015173,3.57276805233662,3.57276805233662,1.06765582555648,1.19265088024789,1.55390721937018,3776315890817.17
"CountryUSA","CountryUSA",0.41059693897001,1.50771753188973,1.50771753188973,0.559087725212735,0.734405211299847,1.65531613509739,90.9593855858924
"SexMale","SexMale",0.727078457955544,2.06902701964496,2.06902701964496,0.324170692889969,2.24288769436148,2.99233204903816,49.6856847347813
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.22289370021449,0.294377094190306,0.294377094190306,0.582385823166966,-2.09979991196299,1.09857126661254,2.51378461798958
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.376742479465768,0.686092734115649,0.686092734115649,0.423497693400557,-0.889597476766973,1.34872299170171,4.82346533876491
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.511100236993188,0.599835254685338,0.599835254685338,0.29387661038929,-1.73916609530833,1.40101510286115,2.9067592475647
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.184705964506546,0.831348693941199,0.831348693941199,0.326828286290269,-0.565146813340696,1.54978054972382,4.84301991820992
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0746155209581072,0.928100252835526,0.928100252835526,0.340130385916081,-0.219373287561896,1.61045007451911,6.09610613209128
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6143792492532,329926100.429088,329926100.429088,2328.39525347197,0.00842399039424486,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.437427330488701,0.645695447095609,0.645695447095609,3705.40600414816,-0.000118051120443753,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5590534191267,312168423.528872,312168423.528872,2328.39523865038,0.00840022909103002,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7487148261556,377361746.884747,377361746.884747,2328.39530728643,0.00848168468831493,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.993298022109,481924500.659015,481924500.659015,2328.39529373891,0.00858672841156795,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.3320061111142,248761735.583241,248761735.583241,2328.39521733035,0.00830271680994068,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4694611080621,104998970.99877,104998970.99877,2328.3952122968,0.00793227069464864,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6631729818424,127442135.692628,127442135.692628,2328.39523717874,0.00801546605311566,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1710642717026,575681014.911036,575681014.911036,2328.39522323853,0.00866307578300519,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.393014014230621,1.48143915041369,1.48143915041369,33906.9597944498,1.15909540876901e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.409718477629354,1.50639364190356,1.50639364190356,33906.9597923978,1.20836099767699e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.620588289031956,1.86002195056026,1.86002195056026,33906.9597932964,1.83026815973825e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.118666227263996,1.12599402945318,1.12599402945318,33906.9597928209,3.49976016691183e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.0372828255907,1368912992.32575,1368912992.32575,33826.9343649262,0.000621909233590008,1,Inf
