"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",-0.196525085592208,0.821580721197808,0.821580721197808,0.334992979026826,-0.586654341721206,1.53126212364832,4.87515425753033
"CountryUSA","CountryUSA",0.396043480251629,1.48593392492777,1.48593392492777,0.55914551668162,0.708301271200459,1.64321393186874,85.2637908817212
"SexMale","SexMale",0.676623680071799,1.96722452750143,1.96722452750143,0.332797153995989,2.03314142548212,2.78612629486133,43.6788631202885
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.20679950304643,0.299153187789201,0.299153187789201,0.582089818182666,-2.07321871187192,1.10030915838817,2.55027607069384
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.342992442660027,0.709643574557696,0.709643574557696,0.425980994314084,-0.80518250165671,1.36059859770518,5.13174132967637
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.525447408033806,0.591290756942514,0.591290756942514,0.294290518390164,-1.78547175392575,1.39392599048029,2.86535643916422
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.15932601976244,0.852718310625908,0.852718310625908,0.327100646128629,-0.487085616149432,1.56695636694779,5.04780104469515
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0709042544545227,0.931551079724135,0.931551079724135,0.34033857368883,-0.208334464371794,1.61299116905361,6.14176311042427
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6420714956987,339190174.812916,339190174.812916,2320.16930531443,0.00846579232416698,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.448355549631925,0.638677562085628,0.638677562085628,3720.70185227705,-0.000120502950097314,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.4872862947695,290550016.934443,290550016.934443,2320.16929199126,0.0083990794818445,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7511796708627,378293032.25463,378293032.25463,2320.16936152992,0.00851281807196989,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",20.0144658705461,492234541.16232,492234541.16232,2320.16934958084,0.00862629526338752,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.3230086596157,246533552.946933,246533552.946933,2320.16927089481,0.00832827539870117,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4647063416387,104500910.436135,104500910.436135,2320.16926585379,0.00795834451106046,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6818234718523,129841297.196586,129841297.196586,2320.16929206071,0.00805192256262454,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1450682270552,560908431.835587,560908431.835587,2320.16927684227,0.00868258554585829,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.357572451897235,1.42985415834184,1.42985415834184,33777.8047244916,1.05860180912813e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.369754697892757,1.44737952586541,1.44737952586541,33777.8047224592,1.09466764027712e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.599645103268432,1.82147225111962,1.82147225111962,33777.8047233172,1.77526369217977e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.0991026992677086,1.10417969218192,1.10417969218192,33777.8047228509,2.93395915101211e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",20.9609648221934,1268327350.11368,1268327350.11368,33698.0298391868,0.000622023451288489,1,Inf
