"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",-18.1325656835394,1.33391077561869e-08,1.33391077561869e-08,14887.9294639325,-0.0012179373718466,1,Inf
"CountryUSA","CountryUSA",0.406718067348879,1.50188061678313,1.50188061678313,0.558600681247529,0.728101631456216,1.65288186018454,89.0025298267758
"SexMale","SexMale",0.733214788562921,2.0817622874181,2.0817622874181,0.323464776538463,2.26675311114048,3.01719113728681,50.6188469063156
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.21293717844046,0.297322705827854,0.297322705827854,0.581152215929949,-2.08712475869947,1.09985794758658,2.53138044223652
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.33400058526005,0.716053363149659,0.716053363149659,0.424318952613877,-0.787145102057189,1.36577200173745,5.18023353946771
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.510044708588813,0.600468732102492,0.600468732102492,0.293511261291064,-1.73773471704386,1.40185303089228,2.90781248636407
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.197610430459924,0.820689506503775,0.820689506503775,0.326307641247733,-0.605595473352395,1.54178002199596,4.73851421561438
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0926355291575805,0.911525664287168,0.911525664287168,0.34043847317164,-0.272106522786795,1.59635243557783,5.90878634419795
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.7099394795984,363009469.838576,363009469.838576,2324.08069554811,0.00848074660976867,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.410240303479194,0.663490791832203,0.663490791832203,3725.29298933433,-0.000110122963389384,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5403833353827,306394282.492069,306394282.492069,2324.08068167192,0.00840779043923962,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7945008796302,395041302.081267,395041302.081267,2324.08075203569,0.00851713128396764,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",20.0257881085451,497839407.729988,497839407.729988,2324.08073830072,0.00861664905978574,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.335515430783,249636253.618951,249636253.618951,2324.08066064227,0.00831964043168776,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4906971903107,107252582.025313,107252582.025313,2324.08065626192,0.00795613402679896,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6668918045907,127916952.738942,127916952.738942,2324.08068062192,0.00803194654997754,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1770277522831,579124334.343692,579124334.343692,2324.0806668946,0.00868172436511996,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.35156346462613,1.42128794581153,1.42128794581153,33769.6298068288,1.0410640170981e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.388998573946803,1.47550244718657,1.47550244718657,33769.6298047728,1.15191838404999e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.607279489002907,1.83543128943199,1.83543128943199,33769.6298056583,1.798300699468e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.113657888935754,1.12036876876088,1.12036876876088,33769.6298051622,3.36568359178102e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.0168286072664,1341197364.1557,1341197364.1557,33689.5625205974,0.000623837979327187,1,Inf
