"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",-18.059610232832,1.43486463122435e-08,1.43486463122435e-08,10271.8494421913,-0.00175816539508968,1,Inf
"CountryUSA","CountryUSA",0.433192930952259,1.54217372504613,1.54217372504613,0.559367364926345,0.774433687259,1.67401909937201,101.09086924923
"SexMale","SexMale",0.734924223647469,2.08532396827369,2.08532396827369,0.324631614995295,2.26387138436323,3.01526800952226,51.4205814502645
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.21700704754976,0.296115100396811,0.296115100396811,0.581393769296268,-2.09325780877022,1.09938351006813,2.52295426445819
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.350062552621829,0.704644011009763,0.704644011009763,0.424006409029204,-0.825606748311482,1.35926072290229,5.04123161239487
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.471314767360339,0.624181075657149,0.624181075657149,0.29625748294384,-1.5908957393312,1.4180029123912,3.05121755805795
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.192916224052281,0.824551048791226,0.824551048791226,0.325046644706408,-0.593503200829924,1.54658775572206,4.75494619499083
"feeding_first_yearFormula","feeding_first_yearFormula",-0.102612784508626,0.902476358660146,0.902476358660146,0.340089179204677,-0.301723167872009,1.5894611509897,5.79850953167876
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6906344448183,356068770.178181,356068770.178181,2330.57441861146,0.0084488331664388,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.431494023976931,0.649537944180329,0.649537944180329,3732.43686909716,-0.000115606516361871,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5360123984721,305057974.998926,305057974.998926,2330.57440535799,0.00838248817697421,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7601989612123,381720399.927849,381720399.927849,2330.57447446522,0.00847868162022434,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.9665003713797,469181559.224045,469181559.224045,2330.57446064195,0.00856720122380471,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.3164257312473,244915970.284358,244915970.284358,2330.57438440969,0.00828826827432066,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4597344157346,103982629.148273,103982629.148273,2330.57437960819,0.00792068023112739,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.7032841064099,132657888.646436,132657888.646436,2330.57440407067,0.00802518214983482,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1563843050147,567291764.405641,567291764.405641,2330.57439041088,0.00864867664724536,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.371236611032516,1.44952600665924,1.44952600665924,33754.5692248052,1.09981143163192e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.409035803754458,1.50536561726163,1.50536561726163,33754.569222767,1.21179387908932e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.627485461706968,1.87289518656571,1.87289518656571,33754.5692236474,1.8589645080328e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.0924279959992096,1.09683416226904,1.09683416226904,33754.5692232155,2.73823657437287e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.0513092494874,1388249238.40818,1388249238.40818,33674.0168161907,0.000625149929822621,1,Inf
