"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",-1.05530073901659,0.348087728002399,0.348087728002399,0.776870753477639,-1.35839936603684,1.07888737540352,4.93198037563551
"CountryUSA","CountryUSA",0.491205859124077,1.63428575061219,1.63428575061219,0.562515121809162,0.873231385396823,1.72054837306775,137.277086290749
"SexMale","SexMale",0.763622075590421,2.14603526203529,2.14603526203529,0.32722151298866,2.33365486460814,3.09587361459623,58.8729589005737
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.27989160616729,0.278067439615246,0.278067439615246,0.58638420063066,-2.18268433015549,1.092106873679,2.40504593250453
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.331961535485607,0.717514921186675,0.717514921186675,0.425885335552038,-0.779462234958888,1.36533336041439,5.2240624937235
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.453602136918136,0.635335459491304,0.635335459491304,0.300055778323435,-1.51172605124501,1.42312347756978,3.13917654931687
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.255437932049615,0.774577211488481,0.774577211488481,0.327169937056217,-0.780750011287631,1.50368991406698,4.35269601738234
"feeding_first_yearFormula","feeding_first_yearFormula",-0.189292850183495,0.827544124756883,0.827544124756883,0.345244241594868,-0.548286770284857,1.52294795894769,5.093852657896
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6970818111887,358371892.551339,358371892.551339,2308.98041407658,0.0085306404901083,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.207382538072554,0.8127086984969,0.8127086984969,3700.64219888499,-5.60396079726483e-05,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5317637050555,303764626.654718,303764626.654718,2308.98039950943,0.00845904266194948,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.760648969784,381892216.03629,381892216.03629,2308.98047058945,0.00855817068246548,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.9449740901067,459189754.047655,459189754.047655,2308.98045675379,0.00863800039180386,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.2694618838043,233679688.682491,233679688.682491,2308.98037831305,0.00834544202488313,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4522761971627,103209988.814166,103209988.814166,2308.98037326302,0.0079915257881063,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.8606849998814,155271382.673718,155271382.673718,2308.9804023145,0.00816840410640804,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1648540220739,572116970.35966,572116970.35966,2308.98038512577,0.00873322881041948,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.375284790763613,1.45540584174393,1.45540584174393,33749.0631696149,1.1119858020281e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.419144435629348,1.52065997640994,1.52065997640994,33749.0631675161,1.24194391278031e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.650759944759871,1.91699708749714,1.91699708749714,33749.0631684044,1.92823113789158e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.0359420803251944,1.0365958054602,1.0365958054602,33749.0631680782,1.064980089853e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.0742893752475,1420520762.16404,1420520762.16404,33670.0017243854,0.000625906988296484,1,Inf
