"","term","estimate","std.error","statistic","p.value"
"1","get(i)",-18.1915608054091,6289.3855639738,-0.00289242257774942,0.997692183899803
"2","CountryUSA",0.438449523576646,0.559933600760392,0.783038422736607,0.433604549338838
"3","SexMale",0.732325554028337,0.324424206041797,2.25730861134939,0.0239887976538741
"4","Delivery.ModeVaginal",-1.27800224596958,0.586743805464452,-2.17812652484324,0.0293966183307736
"5","HLA.CategoryLow/No Risk",-0.394787793264999,0.422970859698652,-0.933368775206567,0.350629596483846
"6","HLA.CategoryStandard Risk",-0.559039849334905,0.292938886578528,-1.90838388124017,0.0563416186168557
"7","feeding_first_yearBreastmilk_and_formula",-0.22415601890506,0.325939803762508,-0.687722138620384,0.491627775873397
"8","feeding_first_yearFormula",-0.145176959579262,0.341088255759794,-0.425628725491801,0.670378405339926
"9","Age.at.Gluten.Introduction..months.11",19.6705332356037,2305.29157466157,0.00853277453134812,0.993191913554859
"10","Age.at.Gluten.Introduction..months.15",-0.454894001598021,3720.63736351826,-0.000122262386025138,0.999902448730067
"11","Age.at.Gluten.Introduction..months.36",19.5521726793874,2305.29156124804,0.00848143159332182,0.993232877810077
"12","Age.at.Gluten.Introduction..months.4",19.7391694113338,2305.29163150194,0.00856254763674882,0.993168158921536
"13","Age.at.Gluten.Introduction..months.5",20.0057872833993,2305.29161757227,0.00867820241521878,0.993075883188072
"14","Age.at.Gluten.Introduction..months.6",19.2920900862835,2305.29153917719,0.00836861184731944,0.993322891748822
"15","Age.at.Gluten.Introduction..months.7",18.4514333254657,2305.29153401334,0.00800394789692525,0.993613841733915
"16","Age.at.Gluten.Introduction..months.8",18.7933204781397,2305.29156017209,0.00815225319123488,0.993495515090216
"17","Age.at.Gluten.Introduction..months.9",20.1701131033062,2305.29154595285,0.00874948469694282,0.993019010315287
"18","Age.at.Solid.Introduction..months.4",0.379171326486061,33825.352004243,1.1209678658732e-05,0.999991055970467
"19","Age.at.Solid.Introduction..months.5",0.398495321997721,33825.3520021468,1.17809660036185e-05,0.999990600149115
"20","Age.at.Solid.Introduction..months.6",0.606705828442945,33825.3520030695,1.79364232007959e-05,0.999985688804853
"21","Age.at.Solid.Introduction..months.7",0.0723743407829581,33825.3520026079,2.13964782324743e-06,0.999998292808036
"22","Age.at.Solid.Introduction..months.8",20.9813972601799,33746.6938472848,0.000621731934841611,0.999503929720191
