"","term","estimate","std.error","statistic","p.value"
"1","get(i)",-1.5144728627607,0.745434744323409,-2.03166390390792,0.042187692506218
"2","CountryUSA",0.463195187283076,0.560928959146447,0.825764439026129,0.408937730217394
"3","SexMale",0.758447247903708,0.326590492324912,2.32231882350439,0.0202157747188948
"4","Delivery.ModeVaginal",-1.27122307986487,0.586143278299228,-2.16879238733828,0.0300984494614121
"5","HLA.CategoryLow/No Risk",-0.354862869836921,0.424791890744664,-0.835380518245872,0.403503495266086
"6","HLA.CategoryStandard Risk",-0.488805010431425,0.297013706386507,-1.64573216629719,0.0998189134600235
"7","feeding_first_yearBreastmilk_and_formula",-0.236177833996153,0.325236036153243,-0.726173633123706,0.467732333665524
"8","feeding_first_yearFormula",-0.157074358389038,0.341532482929327,-0.459910451391943,0.645580498076487
"9","Age.at.Gluten.Introduction..months.11",19.7244501950614,2324.75226884533,0.00848453852885504,0.993230398923377
"10","Age.at.Gluten.Introduction..months.15",-0.227686117067202,3717.74480996555,-6.12430730739993e-05,0.999951135097569
"11","Age.at.Gluten.Introduction..months.36",19.7671197466732,2324.75225577783,0.0085028930276527,0.993215754680416
"12","Age.at.Gluten.Introduction..months.4",19.7865786970625,2324.75232520539,0.00851126310641043,0.993209076565456
"13","Age.at.Gluten.Introduction..months.5",19.9955171296925,2324.75231135991,0.00860113872432101,0.993137368822415
"14","Age.at.Gluten.Introduction..months.6",19.3157353703885,2324.75223349191,0.00830872860002599,0.99337067000616
"15","Age.at.Gluten.Introduction..months.7",18.4759386521179,2324.75222847838,0.00794748723145047,0.993658889394374
"16","Age.at.Gluten.Introduction..months.8",18.8656571628867,2324.75225506977,0.00811512586846399,0.99352513742796
"17","Age.at.Gluten.Introduction..months.9",20.1953904775056,2324.75224026679,0.00868711518057855,0.99306877209825
"18","Age.at.Solid.Introduction..months.4",0.352199965814322,33973.5622999644,1.03668835992124e-05,0.999991728423633
"19","Age.at.Solid.Introduction..months.5",0.38987936861216,33973.5622978715,1.14759637271416e-05,0.999990843505722
"20","Age.at.Solid.Introduction..months.6",0.60470923642922,33973.5622987662,1.77994062298018e-05,0.999985798128578
"21","Age.at.Solid.Introduction..months.7",0.0363187944692938,33973.5622983856,1.06903109395212e-06,0.999999147036595
"22","Age.at.Solid.Introduction..months.8",21.4513551203426,33893.9313048224,0.000632896636492874,0.99949502157887
