"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",0.580348577573865,1.78666111221319,1.78666111221319,23109.6160105206,2.51128611271456e-05,1,Inf
"CountryUSA","CountryUSA",0.405665088460859,1.50030000052515,1.50030000052515,0.558793929003443,0.725965454177937,1.65169392731039,88.7336748113913
"SexMale","SexMale",0.720725023219496,2.05592326252034,2.05592326252034,0.32360752771318,2.22715778063819,2.97520877585398,48.26464979924
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.21003490973181,0.298186869624538,0.298186869624538,0.581434485337397,-2.08111995460615,1.10010417393392,2.53953168351898
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.374119959569461,0.687894387364736,0.687894387364736,0.423003988015937,-0.884436010459943,1.35017494132821,4.83605211550945
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.512276219035342,0.599130273801252,0.599130273801252,0.293543647973963,-1.74514496420233,1.40076793150959,2.90109839117011
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.177244250103116,0.837575181712381,0.837575181712381,0.325977910118238,-0.54373086212752,1.55601946041213,4.88762677524852
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0820209913028211,0.921252620200654,0.921252620200654,0.340289679868123,-0.241032849819624,1.60456110370459,6.01871308636297
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6732219693159,349922398.507964,349922398.507964,2340.01163201973,0.00840731802360116,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.405693543278352,0.666514393946092,0.666514393946092,3735.05984509594,-0.000108617682206892,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5404456263284,306413368.67612,306413368.67612,2340.0116187925,0.00835057632594647,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7487229145259,377364799.138634,377364799.138634,2340.0116877424,0.00843958302344172,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.9900988532157,480385206.33171,480385206.33171,2340.01167401018,0.00854273466890778,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.3209755907644,246032842.421589,246032842.421589,2340.01159802089,0.00825678625144656,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4609926015623,104113540.957017,104113540.957017,2340.0115931347,0.00788927399151548,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6492606380685,125681393.315921,125681393.315921,2340.01161763577,0.00796972993532006,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1579054242662,568155339.463531,568155339.463531,2340.01160388998,0.008614446779134,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.374599940655514,1.45440944812496,1.45440944812496,33753.8037978428,1.10980066987133e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.401562009752243,1.49415676324807,1.49415676324807,33753.803795796,1.18967927935356e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.616861984722244,1.85310384024689,1.85310384024689,33753.8037966939,1.82753324169842e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.109787653664718,1.1160410580667,1.1160410580667,33753.8037962198,3.25260093136565e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.0096473019408,1331600317.28787,1331600317.28787,33672.588052026,0.000623939189630441,1,Inf
