"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",-1.59512232770822,0.20288370868538,0.20288370868538,1.06070971704087,-1.50382550671661,1.02569749103514,5.06460765140073
"CountryUSA","CountryUSA",0.466072553182308,1.59372262480208,1.59372262480208,0.561238582524084,0.830435696502224,1.69978240704851,120.042138047484
"SexMale","SexMale",0.818370590727553,2.26680327646733,2.26680327646733,0.332345370261155,2.46241008287398,3.26003290550962,77.3369683832763
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.30824823060926,0.270293133140182,0.270293133140182,0.587067355279412,-2.22844656383015,1.0892950766943,2.34943896998115
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.362674572665859,0.695812833174137,0.695812833174137,0.420474020243436,-0.862537410648787,1.35689613598393,4.88591064590576
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.472558180645871,0.623405442931049,0.623405442931049,0.293457145714587,-1.61031410393897,1.42011129986578,3.02846575913544
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.182363368463004,0.833298491004205,0.833298491004205,0.327609579951236,-0.556648460921529,1.55033171957893,4.87276511044065
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0140941584017028,0.986004699265308,0.986004699265308,0.339314917693062,-0.0415371021631657,1.66039128415581,6.80299601646862
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.797403755719,396189724.088118,396189724.088118,2386.17584811882,0.00829670779348747,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.434493922214784,0.647592316248188,0.647592316248188,3831.1094374826,-0.000113412036201265,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.7314167573835,370890250.993316,370890250.993316,2386.17583773819,0.00826905395877551,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.8573648719878,420672370.773058,420672370.773058,2386.17590431382,0.00832183613793469,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",20.0511984426367,510651767.183103,510651767.183103,2386.1758914989,0.00840306806973953,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.4750296526077,287010584.434809,287010584.434809,2386.17581548434,0.00816160717338201,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.5496838050422,113769360.674273,113769360.674273,2386.17581030089,0.00777381269433922,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.7590966970005,140272384.933553,140272384.933553,2386.17583497377,0.00786157349431323,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.2921726061464,649798326.7328,649798326.7328,2386.17582257004,0.00850405590996671,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.610463738171783,1.84128507499963,1.84128507499963,37204.8838203176,1.64081613887048e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.622189267294231,1.8630021902834,1.8630021902834,37204.8838184413,1.67233224092433e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.893819968239371,2.44444955875869,2.44444955875869,37204.8838192999,2.40242644643256e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.348733879031301,1.41727197436094,1.41727197436094,37204.8838188766,9.37333605794958e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.8935712647084,3222976874.82798,3222976874.82798,37128.2872864307,0.000589673611815372,1,Inf
