"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",-0.200492798946671,0.818327382823639,0.818327382823639,0.472055370685011,-0.424723054534326,1.38323351795551,7.87860160705382
"CountryUSA","CountryUSA",0.403440505150242,1.4969661677523,1.4969661677523,0.558898028878187,0.721849933806392,1.64968470213929,87.9338785031655
"SexMale","SexMale",0.725509645883292,2.06578364986277,2.06578364986277,0.323950193344092,2.23957157856261,2.98860858217226,49.2992761327261
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.22289825138123,0.294375754434114,0.294375754434114,0.58204561040619,-2.10103508989238,1.0986396871055,2.51222996841715
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.380549210040522,0.683485928778341,0.683485928778341,0.422691150903922,-0.900300867966411,1.34782616458513,4.78285756028141
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.517555243886948,0.595975783837763,0.595975783837763,0.293337605606885,-1.76436717963992,1.39847389640869,2.88364128967085
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.177297430486897,0.837530640327147,0.837530640327147,0.326061834754003,-0.543754011016526,1.55586973495874,4.88849012560405
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0805389665516568,0.922618951604262,0.922618951604262,0.33991927622286,-0.236935567310555,1.60623908069463,6.02688916840585
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6893563103362,355613957.123051,355613957.123051,2327.44420418924,0.00845964697022453,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.411720249632687,0.662509587430883,0.662509587430883,3727.73798219306,-0.000110447743805874,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5464378962851,308254992.542632,308254992.542632,2327.44419110426,0.00839824128586786,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7455978812928,376187362.323121,376187362.323121,2327.4442600916,0.00848381128599647,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.9967947163661,483612592.944106,483612592.944106,2327.44424601237,0.00859173952313865,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.3312719982222,248579183.401263,248579183.401263,2327.44416998112,0.00830579407555843,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4538271569917,103370187.559563,103370187.559563,2327.44416501887,0.00792879478457526,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6467377297064,125364710.326815,125364710.326815,2327.44418944191,0.00801167985651147,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1679180898468,573872663.939358,573872663.939358,2327.44417610532,0.00866526393926029,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.384939597108817,1.4695255551681,1.4695255551681,33736.3073714173,1.14102469150181e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.422948445124586,1.52645559770967,1.52645559770967,33736.3073694082,1.25368920935346e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.639773663425143,1.89605168489148,1.89605168489148,33736.3073703047,1.8963950511913e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.123400905732985,1.13133788988827,1.13133788988827,33736.3073698114,3.65780713284019e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.0420672312364,1375478119.9683,1375478119.9683,33655.9360013097,0.000625211173161774,1,Inf
