"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",-0.166463474195234,0.846653741079923,0.846653741079923,0.569313170927808,-0.292393506238313,1.31969340582682,13.251102458676
"CountryUSA","CountryUSA",0.404405014663374,1.49841070238364,1.49841070238364,0.558721357570385,0.723804467439621,1.65076821672143,88.1776572368164
"SexMale","SexMale",0.709982456385922,2.03395557540208,2.03395557540208,0.325521536717086,2.18106139319124,2.92889500352103,46.9785553256955
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.21820377044282,0.295760944632609,0.295760944632609,0.582105456262889,-2.09275442677289,1.0991139353222,2.52341701562037
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.380995280919525,0.683181113598946,0.683181113598946,0.423505682121197,-0.8996225954071,1.347005512083,4.79148128994611
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.523374104590353,0.592517953841142,0.592517953841142,0.296319625877282,-1.76624853328852,1.39304578836323,2.88372005762313
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.170757695680971,0.843025817522652,0.843025817522652,0.326830145209653,-0.522466174506132,1.55934437630185,4.95155866915169
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0777788105783285,0.925169041518613,0.925169041518613,0.340353276232702,-0.228523760485709,1.6076946437098,6.06617649252653
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6632883914935,346463624.572077,346463624.572077,2327.34551186667,0.00844880499746787,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.402091373631846,0.6689196212826,0.6689196212826,3725.01163446732,-0.000107943655775815,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5399497778213,306261471.726782,306261471.726782,2327.34549874662,0.00839580964164732,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7385504453734,373545526.013713,373545526.013713,2327.34556768718,0.00848114294646358,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.9993885951591,484868653.723443,484868653.723443,2327.34555440589,0.00859321838018353,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.3307416281319,248447379.392863,248447379.392863,2327.34547819088,0.00830591839899864,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4599597694718,104006064.662904,104006064.662904,2327.34547270563,0.0079317660338632,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6462476169667,125303282.539675,125303282.539675,2327.345497297,0.00801180900670855,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1530898209789,565425905.952203,565425905.952203,2327.34548347748,0.008659260072925,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.373430704758638,1.45270989417283,1.45270989417283,33814.1824158978,1.10436118243412e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.398659829641806,1.48982673750438,1.48982673750438,33814.1824138755,1.17897225715035e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.615203289572452,1.85003265368028,1.85003265368028,33814.1824147716,1.81936467375211e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.119459244159968,1.12688731589211,1.12688731589211,33814.1824142672,3.53281480227554e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.0681524605339,1411829842.39074,1411829842.39074,33733.9994191849,0.000624537642238538,1,Inf
