"","term","estimate","std.error","statistic","p.value"
"1","get(i)",NA,0,NA,NA
"2","CountryUSA",0.405665088460867,0.558793928963656,0.725965454229643,0.467859948667333
"3","SexMale",0.720725023219501,0.323607527710044,2.22715778065978,0.0259367306626066
"4","Delivery.ModeVaginal",-1.21003490973181,0.581434485287758,-2.08111995478381,0.0374229277837954
"5","HLA.CategoryLow/No Risk",-0.374119959569461,0.423003987993013,-0.884436010507874,0.376460890963164
"6","HLA.CategoryStandard Risk",-0.51227621903533,0.293543647974931,-1.74514496419653,0.0809596383909413
"7","feeding_first_yearBreastmilk_and_formula",-0.177244250103115,0.325977910118597,-0.543730862126914,0.586626691610749
"8","feeding_first_yearFormula",-0.0820209913028164,0.340289679858367,-0.24103284982652,0.809529656471449
"9","Age.at.Gluten.Introduction..months.11",19.6681436457235,2327.34039028651,0.00845090977143325,0.993257229827785
"10","Age.at.Gluten.Introduction..months.15",-0.410704978020741,3727.0583626016,-0.000110195478059017,0.999912076729564
"11","Age.at.Gluten.Introduction..months.36",19.535367302736,2327.3403772759,0.00839385914216888,0.993302748029572
"12","Age.at.Gluten.Introduction..months.4",19.7436445909336,2327.3404462715,0.00848335043657398,0.99323134684975
"13","Age.at.Gluten.Introduction..months.5",19.9850205296234,2327.34043232278,0.00858706369384796,0.993148598657205
"14","Age.at.Gluten.Introduction..months.6",19.315897267172,2327.34035611684,0.00829955842788742,0.993377986492657
"15","Age.at.Gluten.Introduction..months.7",18.45591427797,2327.34035122808,0.00793004524165589,0.993672805650205
"16","Age.at.Gluten.Introduction..months.8",18.6441823144762,2327.34037580412,0.00801093922844632,0.99360826363727
"17","Age.at.Gluten.Introduction..months.9",20.1528271006739,2327.34036202329,0.0086591662438037,0.993091071284667
"18","Age.at.Solid.Introduction..months.4",0.380566512190839,33759.1698301521,1.12729819514381e-05,0.999991005461747
"19","Age.at.Solid.Introduction..months.5",0.407528581287568,33759.1698281121,1.20716410789287e-05,0.99999036822396
"20","Age.at.Solid.Introduction..months.6",0.62282855625757,33759.1698290085,1.84491668311816e-05,0.999985279694626
"21","Age.at.Solid.Introduction..months.7",0.115754225200038,33759.1698285314,3.42882321419554e-06,0.999997264194896
"22","Age.at.Solid.Introduction..months.8",21.0105355498838,33678.8515790817,0.000623849524695007,0.999502240128269
