"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",-0.110283417507162,0.895580276194828,0.895580276194828,0.272644087882614,-0.404495906599832,1.69019355444296,4.60986174017232
"CountryUSA","CountryUSA",0.402574772451965,1.49567075601372,1.49567075601372,0.559753462619561,0.719200146735987,1.64758921099678,88.2537887225455
"SexMale","SexMale",0.744904823720561,2.10624096126241,2.10624096126241,0.329626182475987,2.25984725523079,3.01590519334318,55.6291443937305
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.24462274369728,0.288049556145958,0.288049556145958,0.587750165547916,-2.11760509252603,1.09529929708208,2.48807471348299
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.41163941686286,0.662563142080328,0.662563142080328,0.433094988585323,-0.950459893815567,1.32778889140444,4.70385790652888
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.515112507508234,0.59743337509659,0.59743337509659,0.293324924750042,-1.7561157066594,1.39963316083765,2.89104375553623
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.172557260681705,0.84151010199008,0.84151010199008,0.326007340251207,-0.5293048326726,1.55921491853463,4.92464974601472
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0856240192874087,0.917939293817451,0.917939293817451,0.340995971591646,-0.251099797125892,1.60079098411182,5.99481874347827
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.646646867794,340745651.803233,340745651.803233,2330.39411858448,0.00843061124773507,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.422360791706162,0.655497498664113,0.655497498664113,3728.03440297436,-0.00011329315828448,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5555603463807,311079898.77139,311079898.77139,2330.39410679889,0.00839152497396373,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.6737238962168,350098078.058474,350098078.058474,2330.39418060751,0.00844223009992587,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.9317159379055,453141926.497949,453141926.497949,2330.39416365012,0.00855293763124015,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.3160733883241,244829691.076287,244829691.076287,2330.39408413496,0.00828875833483511,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4240958526795,100342094.685501,100342094.685501,2330.39408095319,0.00790600010670452,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6295642751689,123230146.551932,123230146.551932,2330.39410390012,0.00799416898797964,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1551618038859,566598673.321953,566598673.321953,2330.39409027499,0.00864882119637867,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.353307964844994,1.42376954689153,1.42376954689153,33743.1340171147,1.04705142286367e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.380622824232402,1.46319561938751,1.46319561938751,33743.134015098,1.12800080769645e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.58457897917825,1.7942354161265,1.7942354161265,33743.1340160494,1.73243830552374e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.0748539247064226,1.07772671014023,1.07772671014023,33743.1340155802,2.21834535795817e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",20.9937575882981,1310608785.93595,1310608785.93595,33662.5663371831,0.000623652913982045,1,Inf
