"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",3.74415158620636,42.2731268963507,42.2731268963507,1.02340418193564,3.65852676029207,295.231141697015,2.81504836532249e+136
"CountryUSA","CountryUSA",0.403578249167684,1.49717238008815,1.49717238008815,0.188919756621234,2.13624163182054,2.81190744762711,8.74171520290775
"SexMale","SexMale",0.76993638399913,2.15962886246323,2.15962886246323,0.213513137730343,3.60603751218121,4.14183330995397,26.6256087146549
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.22670230844997,0.293258059500083,0.293258059500083,0.201807197885256,-6.07858550787396,1.21830002541051,1.54579835179716
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.336706494279736,0.714118406984042,0.714118406984042,0.234608499308181,-1.4351845532989,1.56970943151677,3.09880809059377
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.486999868930789,0.614467113482345,0.614467113482345,0.171604324897773,-2.8379230489727,1.5510992483294,2.3634885907676
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.252334147060602,0.776985067410861,0.776985067410861,0.168287165843249,-1.49942597105497,1.74837045258754,2.94640293422004
"feeding_first_yearFormula","feeding_first_yearFormula",-0.104947744034538,0.900371571142696,0.900371571142696,0.268336303918862,-0.391105275364719,1.70254603352855,4.58805630351343
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",18.7955067430769,145473826.686294,145473826.686294,0.32852318837567,57.2121159422819,Inf,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.351417668742084,0.703689783242142,0.703689783242142,1772.24973932293,-0.000198289022672583,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",18.596106288751,119175325.311946,119175325.311946,0.358060304769675,51.9356824563758,Inf,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",18.8467848887291,153128024.166812,153128024.166812,0.456592737648169,41.2770141413234,Inf,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.058033109348,189146633.217591,189146633.217591,0.315377037394619,60.4293618419066,Inf,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",18.3680137663582,94869589.6871087,94869589.6871087,0.199925190039631,91.8744344457901,Inf,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",17.4620557858428,38341974.1874333,38341974.1874333,0.218017797936807,80.0946342504764,Inf,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",17.716135583206,49433336.5349325,49433336.5349325,0.302289671032397,58.6064866943714,Inf,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",19.2349344436542,225749027.78552,225749027.78552,0.206933461863487,92.9522672188385,Inf,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.318943381038072,1.37567343349924,1.37567343349924,0.209731976671202,1.52071890085736,2.48927696538282,7.96536206799394
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.387512672256999,1.47331162368425,1.47331162368425,0.193374190154783,2.00395239895677,2.74160222935197,8.60429448176603
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.560571433558429,1.75167317919611,1.75167317919611,0.172032028653064,3.25852946074902,3.49143967976384,11.6356114886815
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.0553723261055866,1.05693406556942,1.05693406556942,0.274035352234034,0.202062710720247,1.85468638409819,6.10100147304756
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",20.023139196392,496522419.935115,496522419.935115,0.458046737866912,43.7141835997745,Inf,Inf
