"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",0.543475805376265,1.72198174581314,1.72198174581314,1.07089014393609,0.50749911973109,1.23503403163586,1259999.27800403
"CountryUSA","CountryUSA",0.404216425291267,1.49812814469465,1.49812814469465,0.558845940647077,0.723305648106224,1.650410247016,88.1996170522307
"SexMale","SexMale",0.722178461575367,2.0589135928508,2.0589135928508,0.323676078109599,2.23117650767763,2.97949366848439,48.5628918197912
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.20883970275207,0.298543477720171,0.298543477720171,0.581495227358547,-2.07884716138299,1.10021718869164,2.54264621474626
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.37292773938125,0.688714998017802,0.688714998017802,0.423097762937675,-0.881422148847865,1.35058399323259,4.8465588543702
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.510828571535272,0.599998231341038,0.599998231341038,0.293646554199824,-1.73960349348304,1.4013566217481,2.90620342648711
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.176848777865813,0.837906484949701,0.837906484949701,0.325994611460127,-0.542489880656949,1.55626907664844,4.8909494537293
"feeding_first_yearFormula","feeding_first_yearFormula",-0.081032836599972,0.922163410236434,0.922163410236434,0.340406267194908,-0.23804742864377,1.60513778404157,6.03187885122321
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.7046306594839,361087424.27458,361087424.27458,2323.22448096324,0.00848158704462087,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.379279747252706,0.68435413969505,0.68435413969505,3724.53511217899,-0.000101832775320733,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5173628838442,299421513.828912,299421513.828912,2323.22446540135,0.00840098026450168,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7802338235602,389445240.260733,389445240.260733,2323.22453721541,0.00851412917981166,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",20.0198817176738,494907640.202301,494907640.202301,2323.22452348582,0.00861728236564735,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.3499772382799,253272676.307748,253272676.307748,2323.22444649629,0.00832893148462781,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4912889042952,107316063.657599,107316063.657599,2323.22444164051,0.0079593209217607,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6808071951856,129709409.544394,129709409.544394,2323.22446652729,0.00804089637671099,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1888834547403,586031121.64501,586031121.64501,2323.22445254112,0.0086900271011946,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.346044182569668,1.41346506495679,1.41346506495679,33757.0494219374,1.0251019816465e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.37356304766517,1.45290216274498,1.45290216274498,33757.0494198728,1.1066223324757e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.588412934154438,1.80112763771973,1.80112763771973,33757.0494207769,1.74308165035384e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.0812613572559405,1.08465434180733,1.08465434180733,33757.0494203146,2.40724111411937e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.0137927283098,1337131825.6651,1337131825.6651,33677.0207358136,0.00062398015825559,1,Inf
