"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",1.08890466497604,2.97101802955503,2.97101802955503,1.05923750992744,1.02800802914412,1.45155073963237,19391130318.557
"CountryUSA","CountryUSA",0.392676503651608,1.48093923339665,1.48093923339665,0.558883070823481,0.702609408213104,1.64089086713826,83.8079403764182
"SexMale","SexMale",0.718241318204765,2.05082329163667,2.05082329163667,0.323557103736056,2.21982861730236,2.96749169089519,47.7844662283839
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.18686505590394,0.305176477209979,0.305176477209979,0.580947560087199,-2.04298139358016,1.10266991298662,2.59326000122789
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.367337956552455,0.692575545045287,0.692575545045287,0.42328456400667,-0.867827432863031,1.35271150103241,4.89246863186338
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.496264404337719,0.608800650257766,0.608800650257766,0.294976325636319,-1.68238723316925,1.40705669954412,2.96039886560552
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.160446198278283,0.85176364869,0.85176364869,0.327090101660727,-0.490525997159967,1.56618317400162,5.03849179531001
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0588450437747721,0.942852858757999,0.942852858757999,0.3419136659781,-0.17210497745516,1.61995616857026,6.31427790496836
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6637884579388,346636922.731929,346636922.731929,2331.31448507681,0.00843463573182017,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.403939363302226,0.667684606231156,0.667684606231156,3730.73997586645,-0.000108273255685264,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5253672088156,301827798.423554,301827798.423554,2331.31447219898,0.00837526101332804,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7409259200327,374433928.716135,374433928.716135,2331.31454082986,0.00846772306966595,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.9735977359982,472523356.77206,472523356.77206,2331.31452710192,0.00856752596177038,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.3205201545809,245920815.675288,245920815.675288,2331.31445117175,0.00828739346803696,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4528175184656,103265873.704259,103265873.704259,2331.31444636778,0.00791519889014346,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.5855351368377,117922140.318417,117922140.318417,2331.31447253458,0.00797212703639753,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1436241033354,560098995.268502,560098995.268502,2331.3144569442,0.00864045776550406,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.388405035716503,1.47462693992448,1.47462693992448,33812.9093076153,1.14868860346491e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.418083856767505,1.51904805152073,1.51904805152073,33812.9093055971,1.23646224283427e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.636315949884596,1.88950700264582,1.88950700264582,33812.9093064864,1.88187281998396e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.139637659184724,1.14985708321226,1.14985708321226,33812.9093060161,4.12971442122786e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.0269945089886,1354901383.58654,1354901383.58654,33732.4437887198,0.000623346314328404,1,Inf
