"","term","estimate","std.error","statistic","p.value"
"1","get(i)",-0.324331755787194,0.537333162803137,-0.603595270567767,0.546112757932775
"2","CountryUSA",0.400119134838436,0.558882629871842,0.715926946826363,0.474036458482451
"3","SexMale",0.724415340995533,0.322895085554861,2.24350067066119,0.0248645466607344
"4","Delivery.ModeVaginal",-1.20819556964314,0.581320920000404,-2.07836244675711,0.0376759888003494
"5","HLA.CategoryLow/No Risk",-0.359673442908902,0.423213743341575,-0.849862388846408,0.39540159836157
"6","HLA.CategoryStandard Risk",-0.504599280513291,0.293807248190838,-1.71745007524639,0.0858969689287348
"7","feeding_first_yearBreastmilk_and_formula",-0.179277758112256,0.326331226097989,-0.549373592763149,0.58274909259383
"8","feeding_first_yearFormula",-0.0953900957953949,0.341362464016917,-0.279439322862011,0.779907697188841
"9","Age.at.Gluten.Introduction..months.11",19.7052360355549,2328.33348902915,0.00846323609929754,0.993247395192794
"10","Age.at.Gluten.Introduction..months.15",-0.403169241808717,3727.75210999504,-0.00010815344741613,0.999913706034277
"11","Age.at.Gluten.Introduction..months.36",19.5845125114763,2328.33347622934,0.00841138638920092,0.993288763803452
"12","Age.at.Gluten.Introduction..months.4",19.7635155007019,2328.33354489958,0.00848826644446867,0.993227424584171
"13","Age.at.Gluten.Introduction..months.5",20.0015569486179,2328.33353005131,0.0085905033323027,0.99314585432401
"14","Age.at.Gluten.Introduction..months.6",19.3335558136832,2328.33345452861,0.00830360263736253,0.993374759791544
"15","Age.at.Gluten.Introduction..months.7",18.4638953295881,2328.33344954777,0.00793009065483053,0.993672769416873
"16","Age.at.Gluten.Introduction..months.8",18.6629271845371,2328.33347424462,0.0080155731088271,0.993604566454361
"17","Age.at.Gluten.Introduction..months.9",20.1743509683398,2328.33346047334,0.00866471719400466,0.993086642433353
"18","Age.at.Solid.Introduction..months.4",0.35115265482277,33728.954496818,1.04110151073878e-05,0.999991693211784
"19","Age.at.Solid.Introduction..months.5",0.413364994058284,33728.9544947638,1.22554938405356e-05,0.99999022153068
"20","Age.at.Solid.Introduction..months.6",0.604675938342149,33728.9544956585,1.79275031611188e-05,0.999985695922015
"21","Age.at.Solid.Introduction..months.7",0.0893570561771777,33728.9544952153,2.64926848502979e-06,0.999997886189578
"22","Age.at.Solid.Introduction..months.8",21.0035694816078,33648.4911961536,0.000624205387372875,0.999501956190988
