"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",-1.59213905053676,0.203489870747117,0.203489870747117,0.782668636749918,-2.03424409229967,1.04486408320427,2.5690108697266
"CountryUSA","CountryUSA",0.381121865094804,1.46392599602,1.46392599602,0.55920504698321,0.681542248502358,1.63107790676461,79.8712249842939
"SexMale","SexMale",0.679448635455032,1.9727897060099,1.9727897060099,0.321673638339432,2.11222977102673,2.85822050613216,40.6853275863092
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.2657725165856,0.282021345799111,0.282021345799111,0.581824005953237,-2.17552473537391,1.09435358819452,2.41603490123871
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.447040830169107,0.63951779612196,0.63951779612196,0.423089616653884,-1.05661026074014,1.32190407601737,4.32972722016638
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.602506790426582,0.547437603264376,0.547437603264376,0.292170986445888,-2.06217187324372,1.36175216570876,2.63947303662207
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.188960324878147,0.827819349876779,0.827819349876779,0.32749299713087,-0.576990428905679,1.54602237414161,4.82055542852404
"feeding_first_yearFormula","feeding_first_yearFormula",-0.133473529643941,0.875050631572842,0.875050631572842,0.339035139122139,-0.393686418433036,1.5686916719773,5.47762400414453
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.7356967160737,372481047.790097,372481047.790097,2322.68911945635,0.00849691702206496,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.444142629451268,0.641373935490747,0.641373935490747,3714.87417676772,-0.000119557919950256,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5267650913355,302250013.261631,302250013.261631,2322.68910093998,0.00840696461848174,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.8498466584791,417521525.278357,417521525.278357,2322.68917459606,0.00854606241574755,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",20.2017970884602,593647987.757944,593647987.757944,2322.68916069755,0.0086975896001483,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.5130819907146,298142462.022862,298142462.022862,2322.6890841754,0.00840107361921929,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.5477520281181,113549795.792125,113549795.792125,2322.68907903843,0.00798546486290654,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.7332951162757,136699427.854495,136699427.854495,2322.68910374595,0.00806534765503627,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.3214169315057,669081832.677931,669081832.677931,2322.68909039568,0.00874909044673036,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.207688994180282,1.23083031462597,1.23083031462597,34186.003659969,6.0752639075939e-06,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.27247013794223,1.31320424334598,1.31320424334598,34186.0036579509,7.97022491041769e-06,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.487065445570376,1.62753312072659,1.62753312072659,34186.0036588114,1.42475104850355e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",-0.0411009135317958,0.959732275087441,0.959732275087441,34186.0036583858,-1.20227312740352e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",20.9002021581395,1193555086.54323,1193555086.54323,34107.0300010984,0.000612782823877258,1,Inf
