"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",0.899278008603505,2.45782793977824,2.45782793977824,0.741979771787772,1.21199801234032,1.77550742705328,37148.0453864772
"CountryUSA","CountryUSA",0.404483947819642,1.49852898133777,1.49852898133777,0.559275975615948,0.723227825715509,1.64993471445155,88.6396633546548
"SexMale","SexMale",0.728349464307747,2.07165843805032,2.07165843805032,0.324327508651512,2.24572213234725,2.99549578939693,49.993167763055
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.18286273852803,0.306400337833049,0.306400337833049,0.583162008647675,-2.02836042298269,1.10263350228042,2.61404486644468
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.383088415578108,0.681752619069233,0.681752619069233,0.423033877400618,-0.905573846548746,1.34653703946751,4.76891226930524
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.503231027298782,0.604574105136304,0.604574105136304,0.293936459083451,-1.71204017653322,1.40469630394942,2.93173629020729
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.155586239576196,0.855913260149196,0.855913260149196,0.327167874147422,-0.475554759102321,1.56950225092979,5.07960096507966
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0463017513388621,0.954753820475715,0.954753820475715,0.342677077000015,-0.135117737504397,1.628660203411,6.48095674724695
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6879509324839,355114536.163541,355114536.163541,2334.37052515274,0.00843394427763163,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.368654876348739,0.691664078895232,0.691664078895232,3735.39614224349,-9.8692310617241e-05,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5312788610265,303617383.88705,303617383.88705,2334.37051204923,0.00836682898460749,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7638916224423,383132569.777153,383132569.777153,2334.37058146769,0.00846647562274204,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.9711583973645,471372116.995295,471372116.995295,2334.37056736853,0.00855526482236172,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.3244450201206,246887918.442916,246887918.442916,2334.37049083509,0.00827822536996155,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.452157086426,103197696.128465,103197696.128465,2334.37048611185,0.00790455379564025,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6709003750929,128430745.962606,128430745.962606,2334.37051072079,0.00799825918351231,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1638728470134,571555898.756416,571555898.756416,2334.37049690792,0.00863782029190405,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.393694777982035,1.48244800384368,1.48244800384368,34034.1306886036,1.15676460663608e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.427622174025382,1.53360653510693,1.53360653510693,34034.1306865696,1.25645099610001e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.614912103909597,1.8494940291194,1.8494940291194,34034.1306874729,1.8067513154844e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.13339082440556,1.14269650475461,1.14269650475461,34034.1306869881,3.91932515134163e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.0507578531618,1387483973.88052,1387483973.88052,33953.9667232414,0.000619979339225558,1,Inf
