"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",0.817902250372229,2.26574188957994,2.26574188957994,0.618561805279918,1.32226439361561,1.96216059323656,2030.57592674655
"CountryUSA","CountryUSA",0.410814000710923,1.50804483520324,1.50804483520324,0.559569531929369,0.734160774076559,1.65470973667431,91.4373891330519
"SexMale","SexMale",0.760041078636086,2.13836405977168,2.13836405977168,0.327061705444241,2.32384613051454,3.08448078261371,57.9477843691851
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.14992129047857,0.316661692688477,0.316661692688477,0.584208187259973,-1.9683416212838,1.10601847032217,2.70504263443079
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.367545002387022,0.692432165007195,0.692432165007195,0.422569145416868,-0.869786652370077,1.35320030177462,4.87999442355187
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.465862625520595,0.62759349345516,0.62759349345516,0.293047597545162,-1.5897165833233,1.42386504327193,3.04836393740402
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.172642293838187,0.841438548772137,0.841438548772137,0.327175144713387,-0.527675456488071,1.5575736354165,4.94200183223884
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0805677262083034,0.922592417781551,0.922592417781551,0.339643826047604,-0.237212397310032,1.60662828091535,6.02073822737179
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6645724279854,346908782.247333,346908782.247333,2341.71386725103,0.00839751290838534,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.410941837177194,0.663025493913589,0.663025493913589,3744.81831505148,-0.000109736121382846,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5085695087527,296800130.442194,296800130.442194,2341.71385548998,0.00833089382932772,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7538771739039,379314856.4269,379314856.4269,2341.71392322466,0.00843564919608194,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.8943217268315,436509949.514364,436509949.514364,2341.71390884826,0.0084956243594318,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.2639617276164,232397942.031438,232397942.031438,2341.71383301958,0.00822643717433912,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4239891339292,100331386.873923,100331386.873923,2341.7138288194,0.00786773725601554,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6189666502167,121931095.26312,121931095.26312,2341.71385217112,0.00795099991954788,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1355936575827,555619162.273388,555619162.273388,2341.71383915069,0.00859865681320209,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.430581794895644,1.53815215234877,1.53815215234877,34400.2931809583,1.25168059653045e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.457167840568719,1.57959398195402,1.57959398195402,34400.2931789581,1.32896495442765e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.670626525703535,1.95546208418098,1.95546208418098,34400.2931797882,1.94947909949081e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.142348489300249,1.15297837916208,1.15297837916208,34400.29317935,4.13800221289098e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.0659968662987,1408789787.86055,1408789787.86055,34320.4951961415,0.000613802241078009,1,Inf
