"","term","estimate","std.error","statistic","p.value"
"1","get(i)",0.281917892688592,1.03222814018854,0.273115875950735,0.784764143259917
"2","CountryUSA",0.39938933356139,0.559379430937779,0.713986449040195,0.47523555882571
"3","SexMale",0.725867514118841,0.324524941401956,2.23670794294909,0.0253054345326197
"4","Delivery.ModeVaginal",-1.21037867909166,0.58175476789961,-2.08056512104174,0.037473729206557
"5","HLA.CategoryLow/No Risk",-0.374737839317216,0.422918045380119,-0.886076731439543,0.37557618068808
"6","HLA.CategoryStandard Risk",-0.515310480682179,0.293586541617284,-1.75522514705028,0.0792208041357591
"7","feeding_first_yearBreastmilk_and_formula",-0.18070043737337,0.326195424668463,-0.553963739856344,0.579603661517513
"8","feeding_first_yearFormula",-0.0905730141512379,0.34147399070629,-0.26524132618095,0.790823560934894
"9","Age.at.Gluten.Introduction..months.11",19.6703764138767,2327.18988564214,0.00845241573763936,0.993256028283514
"10","Age.at.Gluten.Introduction..months.15",-0.410345951767709,3726.77265984657,-0.000110107588849974,0.999912146855007
"11","Age.at.Gluten.Introduction..months.36",19.5332042454102,2327.18987281583,0.00839347251961679,0.99330305649887
"12","Age.at.Gluten.Introduction..months.4",19.7382440964418,2327.18994169995,0.00848157846626974,0.993232760626634
"13","Age.at.Gluten.Introduction..months.5",19.9817141635886,2327.18992782081,0.00858619828348069,0.993149289129321
"14","Age.at.Gluten.Introduction..months.6",19.3065190477064,2327.18985173786,0.00829606533102102,0.993380773484767
"15","Age.at.Gluten.Introduction..months.7",18.4536911263676,2327.18984653931,0.00792960280133976,0.993673158655403
"16","Age.at.Gluten.Introduction..months.8",18.6459022257993,2327.18987119113,0.00801219636464629,0.993607260619895
"17","Age.at.Gluten.Introduction..months.9",20.1523632731953,2327.18985736923,0.0086595269437864,0.993090783498509
"18","Age.at.Solid.Introduction..months.4",0.384967280430282,33764.7250530289,1.14014635044614e-05,0.9999909029483
"19","Age.at.Solid.Introduction..months.5",0.410750659221379,33764.7250509834,1.21650823041255e-05,0.999990293668649
"20","Age.at.Solid.Introduction..months.6",0.622357427672074,33764.7250518841,1.84321781597729e-05,0.999985293249625
"21","Age.at.Solid.Introduction..months.7",0.116601362593005,33764.7250513979,3.45334849952161e-06,0.999997244626549
"22","Age.at.Solid.Introduction..months.8",21.0041338188586,33684.4301418378,0.000623556157263601,0.999502474201567
