"","term","estimate","std.error","statistic","p.value"
"1","get(i)",-17.5137994627133,14888.5677510687,-0.00117632533602543,0.999061428392361
"2","CountryUSA",0.411803416873347,0.558724061122826,0.73704256810737,0.461096463068105
"3","SexMale",0.722467385663579,0.323770231865784,2.23142004593885,0.0256533182354997
"4","Delivery.ModeVaginal",-1.20275501064673,0.581399150931073,-2.06872508967479,0.0385718914216959
"5","HLA.CategoryLow/No Risk",-0.37203264771322,0.422381520123,-0.880797643809988,0.378427355276153
"6","HLA.CategoryStandard Risk",-0.503047918651548,0.294013144445775,-1.71097084655793,0.0870864947518631
"7","feeding_first_yearBreastmilk_and_formula",-0.186954168543744,0.326691623047036,-0.572264959842045,0.567142484718231
"8","feeding_first_yearFormula",-0.0876467184720914,0.340193861653601,-0.257637565963306,0.796686634711954
"9","Age.at.Gluten.Introduction..months.11",19.6773451320953,2328.25300561227,0.00845154933104904,0.993256719551265
"10","Age.at.Gluten.Introduction..months.15",-0.402272243435462,3729.07624400098,-0.000107874502186058,0.999913928600368
"11","Age.at.Gluten.Introduction..months.36",19.5327944929823,2328.25299262104,0.00838946392633784,0.99330625478095
"12","Age.at.Gluten.Introduction..months.4",19.7558924006896,2328.25306157024,0.00848528569629183,0.993229802791474
"13","Age.at.Gluten.Introduction..months.5",19.9814756571537,2328.25304720943,0.00858217524126206,0.99315249893433
"14","Age.at.Gluten.Introduction..months.6",19.314445087892,2328.25297152381,0.00829568149342936,0.993381079732316
"15","Age.at.Gluten.Introduction..months.7",18.4642127671387,2328.25296659575,0.00793050112339643,0.99367244192064
"16","Age.at.Gluten.Introduction..months.8",18.6445978926382,2328.25299111532,0.00800797763979539,0.993610626567336
"17","Age.at.Gluten.Introduction..months.9",20.155336502295,2328.25297737116,0.00865684987765054,0.993092919408187
"18","Age.at.Solid.Introduction..months.4",0.3753877480589,33771.2534368085,1.11156000993955e-05,0.999991131034297
"19","Age.at.Solid.Introduction..months.5",0.411606293051085,33771.253434784,1.21880668079419e-05,0.999990275329668
"20","Age.at.Solid.Introduction..months.6",0.616529502844194,33771.2534356789,1.82560444200996e-05,0.999985433784017
"21","Age.at.Solid.Introduction..months.7",0.103769731310905,33771.253435215,3.07272371485921e-06,0.999997548321188
"22","Age.at.Solid.Introduction..months.8",21.0093498788225,33690.9044608571,0.000623591150639237,0.999502446280899
