"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",0.702228436220806,2.0182452307352,2.0182452307352,0.402091259990902,1.74644043801573,2.50359179425099,84.6465005446385
"CountryUSA","CountryUSA",0.396142557393396,1.48608115430732,1.48608115430732,0.560180588518674,0.707169376291572,1.6416414180352,86.0750443667824
"SexMale","SexMale",0.695479291230181,2.00466966431103,2.00466966431103,0.324207333551419,2.14516828972309,2.8918137461187,44.013693331199
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.12086369695865,0.325998109419594,0.325998109419594,0.584468578243209,-1.91774842768747,1.10925061338563,2.78704133690864
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.39702840696384,0.672314926935572,0.672314926935572,0.425472993600261,-0.933145964457746,1.33912699812469,4.70147122603734
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.498767643987478,0.607278582176626,0.607278582176626,0.290910376004817,-1.71450620234742,1.40969276416805,2.9271153620989
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.156066302251732,0.85550246675068,0.85550246675068,0.328838366662277,-0.474598824449261,1.56685351959016,5.1027521289604
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0277558693442222,0.972625785590328,0.972625785590328,0.339641748481554,-0.0817210177144334,1.64847872853904,6.63632737544531
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6176303369821,331000464.605434,331000464.605434,2362.35768499381,0.00830425911435743,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.371312306713243,0.689828469851789,0.689828469851789,3776.19995674975,-9.83296199793506e-05,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5168851394313,299278501.038072,299278501.038072,2362.35767219833,0.00826161312028147,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7720888867622,386286116.289748,386286116.289748,2362.35773914528,0.00836964214146325,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.956105021927,464329515.99554,464329515.99554,2362.35772198387,0.00844753732096434,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.2888762355408,238260753.666493,238260753.666493,2362.35764984796,0.00816509567752463,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4064053288623,98582599.5514883,98582599.5514883,2362.35764622733,0.00779154052234942,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6154783458011,121506503.468383,121506503.468383,2362.35766921995,0.00788004229348893,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1500584078428,563714461.791197,563714461.791197,2362.35765619094,0.00852963917425304,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.382821720643227,1.46641657495932,1.46641657495932,34557.6688211077,1.10777646092089e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.402698406156071,1.49585568276076,1.49585568276076,34557.6688191426,1.16529389833438e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.609776585853387,1.8400202662994,1.8400202662994,34557.6688199085,1.76451886564205e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.0826368992893034,1.08614735606268,1.08614735606268,34557.6688195957,2.39127528308405e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",20.639863803573,919981209.712234,919981209.712234,34476.8393295248,0.00059865881574294,1,Inf
