"","term","estimate","std.error","statistic","p.value"
"1","get(i)",0.990665876826466,0.503504500555381,1.96754125481248,0.0491208446682388
"2","CountryUSA",0.277035867986567,0.563788264865861,0.491382820911466,0.623155712295604
"3","SexMale",0.629174519992387,0.325820982404151,1.93104359133002,0.0534776618833865
"4","Delivery.ModeVaginal",-1.09725368547943,0.583663048479228,-1.87994372495979,0.0601157478919635
"5","HLA.CategoryLow/No Risk",-0.315597885682327,0.426784245080271,-0.739478763146397,0.459616330670579
"6","HLA.CategoryStandard Risk",-0.528434123067826,0.296504376507796,-1.78221356895867,0.0747144108912755
"7","feeding_first_yearBreastmilk_and_formula",-0.184197351791782,0.325144283364218,-0.566509581180148,0.571047421600143
"8","feeding_first_yearFormula",-0.190768836000581,0.350083620136168,-0.544923626893424,0.585806045675873
"9","Age.at.Gluten.Introduction..months.11",19.6335939230128,2370.65323796922,0.00828193411358282,0.993392048177651
"10","Age.at.Gluten.Introduction..months.15",-0.437035382772804,3780.6026997685,-0.000115599394456224,0.999907765028131
"11","Age.at.Gluten.Introduction..months.36",19.392079183972,2370.65322685995,0.00818005727883609,0.993473331377678
"12","Age.at.Gluten.Introduction..months.4",19.7148926076445,2370.65329002007,0.00831622772112644,0.99336468677993
"13","Age.at.Gluten.Introduction..months.5",20.028590779259,2370.6532750255,0.00844855339676088,0.993259109875638
"14","Age.at.Gluten.Introduction..months.6",19.2247659423845,2370.65320489663,0.0081094805021145,0.993529641630398
"15","Age.at.Gluten.Introduction..months.7",18.39793343958,2370.65319939798,0.0077607021745113,0.993807917710667
"16","Age.at.Gluten.Introduction..months.8",18.5419563403172,2370.65322307886,0.00782145450874337,0.993759445832323
"17","Age.at.Gluten.Introduction..months.9",20.0845325492814,2370.65320851411,0.00847215125229983,0.993240282184868
"18","Age.at.Solid.Introduction..months.4",0.313454065703815,35693.2319170012,8.78189081988151e-06,0.9999929930649
"19","Age.at.Solid.Introduction..months.5",0.38662227060591,35693.2319150325,1.08318089974665e-05,0.999991357466836
"20","Age.at.Solid.Introduction..months.6",0.584555959682715,35693.2319158842,1.63772213471814e-05,0.999986932867939
"21","Age.at.Solid.Introduction..months.7",0.113122042064373,35693.2319153719,3.1692854917869e-06,0.999997471276037
"22","Age.at.Solid.Introduction..months.8",20.7840149810442,35614.4139335242,0.000583584360529937,0.999534367075237
