"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",1.85849381270317,6.41406870349413,6.41406870349413,0.435457646558058,4.26790946810342,15.3626839000269,3467656.01350009
"CountryUSA","CountryUSA",0.380292866680449,1.46271290658465,1.46271290658465,0.559258350023712,0.679994973100223,1.6303335238417,79.6182288920897
"SexMale","SexMale",0.810732339815837,2.24955482214544,2.24955482214544,0.329089802745018,2.46355959088772,3.25519519135527,72.794481862266
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.20682034305216,0.299146953500015,0.299146953500015,0.587071318798639,-2.05566224138108,1.09928553105395,2.57375866307108
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.377887355641292,0.685307692363708,0.685307692363708,0.420790727206579,-0.898041071745802,1.35040629619179,4.7749121536019
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.436793152969378,0.646105062503199,0.646105062503199,0.300920780306729,-1.451522066785,1.4307910756049,3.20696767032469
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.241246712442112,0.785647773395542,0.785647773395542,0.329249416318796,-0.732717206121104,1.50993908985804,4.47232865338478
"feeding_first_yearFormula","feeding_first_yearFormula",-0.235679028154101,0.790034211980682,0.790034211980682,0.347285249861615,-0.678632415998126,1.49179195133571,4.76106210184792
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.7184889166583,366126301.04437,366126301.04437,2194.12155435623,0.00898696285878465,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.408859725611881,0.664407425130804,0.664407425130804,3539.35942742036,-0.000115518000925347,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.4028686957654,267029232.600194,267029232.600194,2194.12154745984,0.00884311478469747,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.767739418642,384609625.705804,384609625.705804,2194.12161083799,0.00900940919637182,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.9322947083985,453404267.584448,453404267.584448,2194.12159114964,0.00908440753183357,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.2515492227312,229531130.40476,229531130.40476,2194.1215160466,0.00877414905324791,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.3211385455331,90525174.8869701,90525174.8869701,2194.12151160961,0.00835010205614944,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.4101456074081,98952016.3638088,98952016.3638088,2194.12153633551,0.00839066811137349,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.0597716098442,515048490.15901,515048490.15901,2194.12152324889,0.00914250710240572,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.475889469258929,1.60944511296569,1.60944511296569,37107.2806237297,1.28246926549127e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.650392294109102,1.9162924318119,1.9162924318119,37107.2806220016,1.75273499757207e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.79893513657704,2.22317229272203,2.22317229272203,37107.2806228439,2.15304146023894e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.332816522613716,1.39489134397165,1.39489134397165,37107.2806222753,8.9690356456336e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.1534812919891,1537588769.11661,1537588769.11661,37042.3466364784,0.000571062127882515,1,Inf
