"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",0.540862302784296,1.71748721784567,1.71748721784567,0.449265240724987,1.20388192487693,2.03805747704284,62.9878152095946
"CountryUSA","CountryUSA",0.392478180768872,1.48064555838093,1.48064555838093,0.559676332147918,0.701259206839469,1.63946811521418,84.31323641777
"SexMale","SexMale",0.638881499968306,1.8943608512281,1.8943608512281,0.326700014041995,1.95556006277423,2.71437648995113,36.3709323529413
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.1599234470624,0.313510180089243,0.313510180089243,0.581254756357175,-1.99555089119931,1.10554995983613,2.66319734291192
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.380883204950776,0.683257686074971,0.683257686074971,0.427159992089913,-0.891664041586094,1.34418949014981,4.84660748259661
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.551384089250437,0.576151812727278,0.576151812727278,0.297713028569314,-1.85206570199551,1.37913596318574,2.8084822931882
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.203603696997454,0.815785605418575,0.815785605418575,0.328190515036191,-0.620382636515263,1.53536084669217,4.72158747939171
"feeding_first_yearFormula","feeding_first_yearFormula",-0.15729866839926,0.854448823841805,0.854448823841805,0.348844395995974,-0.450913559755381,1.53921095747299,5.43504288357561
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6744123472414,350339186.425157,350339186.425157,2322.22671555961,0.00847221858891596,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.344841941967376,0.708332302230501,0.708332302230501,3726.07362787759,-9.25483434861168e-05,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.4733177997913,286519684.851307,286519684.851307,2322.22670199751,0.00838562306730901,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.8091244278048,400860653.672935,400860653.672935,2322.22676967301,0.00853022826474181,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",20.0716422684858,521198887.38036,521198887.38036,2322.22675533936,0.00864327405682337,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.2795767338432,236055318.003601,236055318.003601,2322.22668076658,0.00830219413699912,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4748713146308,105568576.57391,105568576.57391,2322.22667554126,0.00795567095547409,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6280792292609,123047279.943309,123047279.943309,2322.2266987087,0.00802164544900772,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1578009816189,568096002.914453,568096002.914453,2322.22668478885,0.0086803760863043,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.19874603658054,1.21987212366141,1.21987212366141,34121.8782919502,5.82459250572458e-06,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.277619817084037,1.31998426633497,1.31998426633497,34121.8782897689,8.13612353711721e-06,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.421250207995227,1.52386551404793,1.52386551404793,34121.8782909672,1.23454577852691e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",-0.047206248773169,0.953890638526477,0.953890638526477,34121.8782902654,-1.38345985445462e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",20.7817731900137,1060252781.77595,1060252781.77595,34042.7586392658,0.000610460903307742,1,Inf
