"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",-0.210282710102095,0.810355118005173,0.810355118005173,1.04676694656981,-0.200887801044138,1.10976862800265,547.30102214298
"CountryUSA","CountryUSA",0.402520126225886,1.4955890254846,1.4955890254846,0.559383325166913,0.719578343000801,1.64814133902349,87.9459975733798
"SexMale","SexMale",0.723146475185982,2.06090761419595,2.06090761419595,0.32334078924476,2.23648391802057,2.9847891297379,48.6215529020119
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.20755094221446,0.298928476805546,0.298928476805546,0.581561314872282,-2.07639488964229,1.10033907707451,2.54601616708913
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.373737904307558,0.688157251246129,0.688157251246129,0.422991356683875,-0.883559199028441,1.35033989387248,4.8387767311344
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.512771771413726,0.598833446921816,0.598833446921816,0.293563095521762,-1.74671741521991,1.4005160828772,2.89968561400888
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.178547750196436,0.836484113643009,0.836484113643009,0.326074835514102,-0.547566787590127,1.55499311154945,4.87900351665773
"feeding_first_yearFormula","feeding_first_yearFormula",-0.083760558278078,0.919651432656949,0.919651432656949,0.340473590855455,-0.246011909668606,1.60297023907446,6.00384348548234
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6402444133828,338571012.245536,338571012.245536,2330.24698667618,0.00842839601367634,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.43761819918244,0.64557221580994,0.64557221580994,3729.50559804378,-0.000117339467036055,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5087571077628,296855815.075899,296855815.075899,2330.24697424836,0.00837196971967123,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7143929925528,364629742.489684,364629742.489684,2330.24704274711,0.00846021586162455,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.9742952571664,472853066.792375,472853066.792375,2330.24702459424,0.00857175013908425,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.2866617697132,237733717.137011,237733717.137011,2330.24695306612,0.00827666000993413,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4280888960986,100743566.039181,100743566.039181,2330.24694779593,0.00790821286710785,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6153333737427,121488889.69724,121488889.69724,2330.24697251633,0.00798856670271341,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1246241857747,549557620.275559,549557620.275559,2330.24695864289,0.00863626239748216,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.41159950483813,1.50922987601159,1.50922987601159,33755.7515974671,1.21934629021566e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.4360772941253,1.54662833541377,1.54662833541377,33755.7515954089,1.29186071562575e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.652524526796017,1.92038277240195,1.92038277240195,33755.7515963213,1.93307657491806e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.145471218828337,1.15658444624766,1.15658444624766,33755.7515958349,4.3095239166971e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.007545455799,1328804437.5824,1328804437.5824,33675.2217943951,0.000623827976072766,1,Inf
