"","term","estimate","std.error","statistic","p.value"
"1","get(i)",2.13973680206921,0.70585810143042,3.03139795056972,0.00243424189483773
"2","CountryUSA",0.325772607725608,0.560430503391783,0.581289929356091,0.561045066744469
"3","SexMale",0.619326572985618,0.326695150002208,1.89573237613547,0.0579954418725046
"4","Delivery.ModeVaginal",-1.23001224343511,0.581648392698457,-2.1147006660307,0.0344554675736752
"5","HLA.CategoryLow/No Risk",-0.164486298275577,0.443500782734605,-0.37088164142882,0.710725689551302
"6","HLA.CategoryStandard Risk",-0.451964486918781,0.300222122145072,-1.50543365588624,0.132212621713507
"7","feeding_first_yearBreastmilk_and_formula",-0.238269576748872,0.327576279622272,-0.727371276771384,0.4669985451971
"8","feeding_first_yearFormula",-0.0631755023832321,0.342437262132552,-0.184487815344049,0.85363078504802
"9","Age.at.Gluten.Introduction..months.11",19.8842506429129,2410.53998598672,0.00824887815946084,0.993418422112178
"10","Age.at.Gluten.Introduction..months.15",-0.440048881993064,3864.13696710931,-0.000113880249519793,0.999909136707324
"11","Age.at.Gluten.Introduction..months.36",19.6335152852141,2410.53996955839,0.00814486195340331,0.993501412248981
"12","Age.at.Gluten.Introduction..months.4",19.9330064701089,2410.54004300476,0.0082691040656857,0.993402284724256
"13","Age.at.Gluten.Introduction..months.5",20.3600416738713,2410.54003564172,0.00844625742482269,0.993260941730839
"14","Age.at.Gluten.Introduction..months.6",19.4910926460598,2410.53995348361,0.00808577871438807,0.993548552300877
"15","Age.at.Gluten.Introduction..months.7",18.4947597638412,2410.53994871632,0.00767245519979463,0.99387832651301
"16","Age.at.Gluten.Introduction..months.8",18.8045533107153,2410.53997226911,0.00780097137033327,0.993775788513635
"17","Age.at.Gluten.Introduction..months.9",20.3087620726871,2410.53995865693,0.00842498461797018,0.993277914371097
"18","Age.at.Solid.Introduction..months.4",0.525519757338377,40942.7015221463,1.28354929645792e-05,0.999989758758334
"19","Age.at.Solid.Introduction..months.5",0.584858358410257,40942.7015202921,1.42848013612484e-05,0.99998860237754
"20","Age.at.Solid.Introduction..months.6",0.873872747302252,40942.7015210736,2.13437979135906e-05,0.999982970113177
"21","Age.at.Solid.Introduction..months.7",0.396654869666357,40942.7015207657,9.68804829513211e-06,0.999992270055841
"22","Age.at.Solid.Introduction..months.8",21.3739684435649,40871.6770522648,0.000522953056617493,0.999582743849119
