"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",0.631381656450121,1.88020658501307,1.88020658501307,0.445772264321692,1.41637716606452,2.19198646938294,90.4240754044091
"CountryUSA","CountryUSA",0.401824713933211,1.4945493360398,1.4945493360398,0.559815668397427,0.717780399186587,1.64687233436614,88.0058525466595
"SexMale","SexMale",0.774282259144411,2.16903476349157,2.16903476349157,0.328152280462186,2.35952118953393,3.12707973902501,61.9656206595291
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.15927285132724,0.31371421484021,0.31371421484021,0.581878897661204,-1.99229230684736,1.10548644802826,2.66809479361054
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.35882039172749,0.698499796427535,0.698499796427535,0.424810899949245,-0.844659098366733,1.35497795514304,4.98321654516488
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.454202531843034,0.634954121793881,0.634954121793881,0.295412206910652,-1.53752120331442,1.42741687402642,3.1046963076438
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.176467016419343,0.838226426408174,0.838226426408174,0.327197452776496,-0.539328820936405,1.5549110455319,4.91229239260563
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0716032366876394,0.93090016958398,0.93090016958398,0.340060558844798,-0.210560251182551,1.61287236051776,6.12792058129035
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6421730503696,339224622.908662,339224622.908662,2339.91453004289,0.00839439765776813,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.429037696705731,0.651135383059455,0.651135383059455,3746.1023082334,-0.000114529092214798,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5272390532414,302393302.208025,302393302.208025,2339.91451771926,0.00834527881483241,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7490483482786,377487626.366317,377487626.366317,2339.91458692453,0.0084400723251338,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.8859268721684,432860850.188821,432860850.188821,2339.91457283578,0.00849856960720934,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.2351229410083,225791584.89077,225791584.89077,2339.91449648231,0.00822043838350726,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4394701169006,101896700.39973,101896700.39973,2339.91449120045,0.00788040340202369,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6086867317699,120684074.167018,120684074.167018,2339.91451507177,0.0079527207562107,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1353074749752,555460176.483358,555460176.483358,2339.91450196409,0.00860514666586064,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.461249711275515,1.5860548576164,1.5860548576164,34442.4584812099,1.33918927862583e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.478510104166521,1.61366841245658,1.61366841245658,34442.4584791379,1.38930298618595e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.715675354885366,2.04556770000707,2.04556770000707,34442.4584799996,2.07788696414035e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.172925581757272,1.18877763504959,1.18877763504959,34442.4584795444,5.02070959481519e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.1075934586915,1468626516.85472,1468626516.85472,34362.8839060638,0.000614255587988259,1,Inf
