"","term","estimate","std.error","statistic","p.value"
"1","get(i)",0.640103166991879,0.310424305243603,2.06202657517285,0.0392052059304819
"2","CountryUSA",0.397706112447155,0.559742223241052,0.710516548393176,0.477383872642194
"3","SexMale",0.631401839133184,0.321355858027686,1.96480575461856,0.049436723911813
"4","Delivery.ModeVaginal",-1.11146000338295,0.584286730806545,-1.90225097504559,0.0571383515470229
"5","HLA.CategoryLow/No Risk",-0.371166531000175,0.430241214717246,-0.862694038375903,0.388305711037938
"6","HLA.CategoryStandard Risk",-0.500182673378619,0.293618847580989,-1.70351010331738,0.0884726488932562
"7","feeding_first_yearBreastmilk_and_formula",-0.197374555443045,0.325783281303144,-0.605846176800542,0.544616903094107
"8","feeding_first_yearFormula",-0.194880698279896,0.348765910992878,-0.558772208341988,0.576317191807667
"9","Age.at.Gluten.Introduction..months.11",19.6758299627685,2360.68882736181,0.00833478336268371,0.993349882033113
"10","Age.at.Gluten.Introduction..months.15",-0.34549347959254,3772.08542562947,-9.15921673578973e-05,0.999926920023877
"11","Age.at.Gluten.Introduction..months.36",19.4140685009577,2360.6888148477,0.00822389989686555,0.99343835120627
"12","Age.at.Gluten.Introduction..months.4",19.3910923327397,2360.68889051247,0.00821416680981213,0.993446116823861
"13","Age.at.Gluten.Introduction..months.5",19.9773549432956,2360.68886472353,0.00846251077040396,0.993247973900795
"14","Age.at.Gluten.Introduction..months.6",19.2119354179631,2360.68879359354,0.00813827535001675,0.993506667423959
"15","Age.at.Gluten.Introduction..months.7",18.442676861304,2360.68878851135,0.00781241345791028,0.993766659326805
"16","Age.at.Gluten.Introduction..months.8",18.5931560649397,2360.68881290985,0.00787615714670211,0.993715800786437
"17","Age.at.Gluten.Introduction..months.9",20.0957387489214,2360.68879838101,0.00851265900134881,0.993207962842783
"18","Age.at.Solid.Introduction..months.4",0.241607204165609,35261.4595439289,6.85187758222583e-06,0.999994532992665
"19","Age.at.Solid.Introduction..months.5",0.302595590656364,35261.4595419188,8.5814822922074e-06,0.99999315296777
"20","Age.at.Solid.Introduction..months.6",0.403214296651685,35261.4595428866,1.14349860124558e-05,0.999990876201208
"21","Age.at.Solid.Introduction..months.7",-0.0425374955424794,35261.459542423,-1.20634528730448e-06,0.99999903747572
"22","Age.at.Solid.Introduction..months.8",20.78783495387,35182.3517114002,0.000590859733436581,0.999528562168522
