"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",0.381530298858053,1.46452403494501,1.46452403494501,0.196160031770517,1.94499509107133,2.71032352067738,8.59463152845675
"CountryUSA","CountryUSA",0.539682934302538,1.71546286151878,1.71546286151878,0.560783094554176,0.962373758309507,1.77098122022387,172.254782735875
"SexMale","SexMale",0.611999506842784,1.84411503545827,1.84411503545827,0.327986206524927,1.8659306235071,2.63696624346389,33.357394655996
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.2463912119103,0.287540599831319,0.287540599831319,0.578185586536224,-2.15569402097541,1.09700780503807,2.44244690831559
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.189277843707153,0.827556543371393,0.827556543371393,0.43317259628265,-0.436957105161951,1.42484489039915,6.9189224217576
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.496260793127292,0.608802848768991,0.608802848768991,0.293812999054762,-1.68903620576296,1.40815571799956,2.95310192221703
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.173226633442811,0.840947006531018,0.840947006531018,0.324413415980341,-0.533968772281932,1.56091797544947,4.8950131367479
"feeding_first_yearFormula","feeding_first_yearFormula",-0.110416265939113,0.895461307662016,0.895461307662016,0.340227051704871,-0.324536997824892,1.58354943746389,5.72252531165874
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.7894571206042,393053825.338479,393053825.338479,2331.79458814091,0.00848679262798265,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.464723370809214,0.628308889731324,0.628308889731324,3736.20778900168,-0.000124383705900198,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.3809640954557,261243660.639903,261243660.639903,2331.7945722825,0.00831160871795171,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7771623821681,388250917.115545,388250917.115545,2331.79464446814,0.00848151977237221,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",20.1721990862634,576334676.93152,576334676.93152,2331.79463452399,0.00865093297136835,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.3891439887327,263389369.774871,263389369.774871,2331.7945543753,0.00831511676376101,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.552448589653,114084343.681283,114084343.681283,2331.79455024148,0.00795629640172702,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6808385148862,129713472.06789,129713472.06789,2331.79457348011,0.00801135688681435,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1738670322399,577296774.17714,577296774.17714,2331.7945596496,0.0086516485548673,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",-0.102119209376153,0.90292190849554,0.90292190849554,34279.9862693031,-2.97897462892504e-06,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.022171207612206,1.02241881537075,1.02241881537075,34279.9862668325,6.46768275798805e-07,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.24198422571654,1.273774099784,1.273774099784,34279.9862676928,7.05905258616158e-06,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",-0.299269268290419,0.74135975788171,0.74135975788171,34279.9862674619,-8.73014551276182e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",20.659542419093,938264470.847911,938264470.847911,34200.575560966,0.000604070021636486,1,Inf
