"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",14.9070659469565,3151664.90715732,4.72990193630771e-06,0.999996226084271
"2","fixed",NA,"Dx.StatusCELIAC",-1.83351586984227,28134.7333572764,-6.51691219731455e-05,0.999948002563773
"3","fixed",NA,"month18",19.8537684779196,19263.0145080459,0.00103066778409096,0.999177646233351
"4","fixed",NA,"month24",20.0190442312122,19263.0145096207,0.00103924773670361,0.999170800425296
"5","fixed",NA,"month30",-0.270738521738574,30513.9768070763,-8.87260691880019e-06,0.999992920683926
"6","fixed",NA,"month36",20.449291911693,19263.0145142766,0.00106158316480202,0.999152979341889
"7","fixed",NA,"month48",21.4651556149499,19263.0145031331,0.00111431965186231,0.99911090173798
"8","fixed",NA,"month54",65.5861209610101,67113232.0963658,9.77245751878511e-07,0.999999220270702
"9","fixed",NA,"month60",21.9168316588697,19263.0145459,0.0011377674873601,0.999092193083914
"10","fixed",NA,"month72",44.3665538026271,30986.7768296311,0.00143178989046068,0.998857597342413
"11","fixed",NA,"month84",1.56685726234878,83304.3376993109,1.88088316361675e-05,0.999984992723632
"12","fixed",NA,"CountryUSA",1.21193915466586,2.35575725535166,0.514458419649417,0.606931524139944
"13","fixed",NA,"SexMale",-44.4472421945863,231646.775204117,-0.000191875074260893,0.999846905841584
"14","fixed",NA,"Delivery.ModeVaginal",-1.35251573067812,2.14384654663228,-0.630882715371002,0.528117214247685
"15","fixed",NA,"HLA.CategoryLow/No Risk",-3.85307069821687,3.13868021563837,-1.22760855948913,0.219593947096797
"16","fixed",NA,"HLA.CategoryStandard Risk",-0.510614521154817,1.65213813125027,-0.309062851039221,0.757273717247343
"17","fixed",NA,"feeding_first_yearBreastmilk_and_formula",1.06697293065402,1.40048100116353,0.761861767326779,0.446142510704381
"18","fixed",NA,"feeding_first_yearFormula",0.292117930736969,1.72815873394255,0.16903420096749,0.865769739975975
"19","fixed",NA,"Age.at.Gluten.Introduction..months.11",-20.2058092810234,9248.2657784657,-0.00218482143193505,0.99825676609822
"20","fixed",NA,"Age.at.Gluten.Introduction..months.15",-68.2032217726775,729674.894902225,-9.34706980453487e-05,0.999925421173251
"21","fixed",NA,"Age.at.Gluten.Introduction..months.36",4.5544055020897,3.5239728113317,1.29240653828104,0.196216393628826
"22","fixed",NA,"Age.at.Gluten.Introduction..months.4",-46.2776686254207,280935.480010221,-0.000164727034918256,0.999868566842686
"23","fixed",NA,"Age.at.Gluten.Introduction..months.5",-28.3333447809609,4606090.55520532,-6.15127827848315e-06,0.999995091990032
"24","fixed",NA,"Age.at.Gluten.Introduction..months.6",-21.1284994604945,9248.26550940048,-0.00228459049310578,0.998177162103467
"25","fixed",NA,"Age.at.Gluten.Introduction..months.7",-20.4925644545843,9248.26531930502,-0.00221582791443145,0.998232026564439
"26","fixed",NA,"Age.at.Gluten.Introduction..months.8",-21.3906164058616,9248.26537678855,-0.00231293280786991,0.998154548267849
"27","fixed",NA,"Age.at.Gluten.Introduction..months.9",-17.9646040168937,9248.26547142017,-0.0019424836011044,0.998450123299743
"28","fixed",NA,"Age.at.Solid.Introduction..months.4",-13.4600295543747,3151707.40271123,-4.27071039107114e-06,0.999996592466115
"29","fixed",NA,"Age.at.Solid.Introduction..months.5",-36.730469345543,3151725.77913631,-1.165408157927e-05,0.999990701388238
"30","fixed",NA,"Age.at.Solid.Introduction..months.6",-16.4973383935508,3151707.40271124,-5.23441306111063e-06,0.999995823542634
"31","fixed",NA,"Age.at.Solid.Introduction..months.7",-17.7675740453138,3151707.40271075,-5.6374440184492e-06,0.999995501970455
"32","fixed",NA,"Age.at.Solid.Introduction..months.8",-62.2567576742355,3879486.97996705,-1.60476779521926e-05,0.999987195805526
"33","fixed",NA,"Dx.StatusCELIAC:month18",-0.125181403861422,28134.7333355142,-4.4493545529151e-06,0.999996449928697
"34","fixed",NA,"Dx.StatusCELIAC:month24",-0.243100925710685,28134.7333369294,-8.64059818159331e-06,0.999993105800115
"35","fixed",NA,"Dx.StatusCELIAC:month30",20.035278408097,36764.143702221,0.000544967905967754,0.999565178543218
"36","fixed",NA,"Dx.StatusCELIAC:month36",-0.256528880887942,28134.7333387314,-9.11787141535809e-06,0.99999272499117
"37","fixed",NA,"Dx.StatusCELIAC:month48",-25.49238743833,163214.608476117,-0.000156189373465674,0.999875378910857
"38","fixed",NA,"Dx.StatusCELIAC:month54",-28.1891433208278,82375503.5052086,-3.42202986583814e-07,0.99999972696152
"39","fixed",NA,"Dx.StatusCELIAC:month60",-26.6085741279115,286815.102414987,-9.27725698677193e-05,0.999925978198943
"40","fixed",NA,"Dx.StatusCELIAC:month72",-21.0055282865905,37157.5004608815,-0.000565310584028779,0.999548947436969
"41","fixed",NA,"Dx.StatusCELIAC:month84",21.7941695364686,85791.0957547154,0.000254037663754524,0.999797307272408
"42","ran_pars","patientID","sd__(Intercept)",0,NA,NA,NA
