"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-1.89967439246096,2.21956880035142,-0.855875425965706,0.39206668895265
"2","fixed",NA,"CountryUSA",0.156026735628398,0.828835346546346,0.188248168081323,0.850682114725586
"3","fixed",NA,"SexMale",-0.202496829432004,0.723150580620089,-0.280020281887026,0.77946194441363
"4","fixed",NA,"Delivery.ModeVaginal",0.764192829362548,1.00061669977905,0.76372184227116,0.445033021539104
"5","fixed",NA,"HLA.CategoryLow/No Risk",-0.286307578690634,1.27089948845007,-0.225279482203429,0.821761860275499
"6","fixed",NA,"HLA.CategoryStandard Risk",0.436013065334421,0.758407645801493,0.574905946357698,0.565354908125272
"7","fixed",NA,"feeding_first_yearBreastmilk_and_formula",-0.134424502221373,0.597500510353299,-0.224978054231097,0.821996346830738
"8","fixed",NA,"feeding_first_yearFormula",-23.2681097342077,724.077694875776,-0.0321348246174046,0.974364531714283
"9","fixed",NA,"as.numeric(Age.at.Gluten.Introduction..months.)",-0.0120950526920715,0.0914060040448722,-0.13232230003331,0.894729369587066
"10","fixed",NA,"as.numeric(Age.at.Solid.Introduction..months.)",-0.101992333565302,0.297480966043822,-0.342853308975331,0.731708819057589
"11","fixed",NA,"Dx.StatusCELIAC:month",-0.070500524069155,0.0363687273175482,-1.93849302048955,0.0525631015156739
"12","fixed",NA,"Dx.StatusCONTROL:month",-0.0246269289420461,0.0243044844020036,-1.01326687432283,0.310932705489062
"13","ran_pars","patientID","sd__(Intercept)",1.93539270834162e-05,NA,NA,NA
