"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-4.15684066104437,2.19076695884562,-1.89743625822928,0.0577703840323222
"2","fixed",NA,"CountryUSA",0.682785239289366,0.781523549690868,0.873659200109123,0.382303876227592
"3","fixed",NA,"SexMale",0.321366078728686,0.656062151565703,0.489840906020474,0.624246482058577
"4","fixed",NA,"Delivery.ModeVaginal",-0.757838464260549,0.819134406360774,-0.92516986025218,0.354877558556361
"5","fixed",NA,"HLA.CategoryLow/No Risk",0.0323233527036716,0.939949979979235,0.0343883753307657,0.972567453132759
"6","fixed",NA,"HLA.CategoryStandard Risk",-0.643004276027916,0.637457883151914,-1.0087007989431,0.313118148511951
"7","fixed",NA,"feeding_first_yearBreastmilk_and_formula",-1.2187614097202,0.687488897530729,-1.77277249726892,0.0762664124501731
"8","fixed",NA,"feeding_first_yearFormula",0.210610669413588,0.706462892640263,0.298119931857246,0.765611629439166
"9","fixed",NA,"as.numeric(Age.at.Gluten.Introduction..months.)",-0.00680614339544773,0.0752735000758041,-0.0904188511042214,0.92795437703546
"10","fixed",NA,"as.numeric(Age.at.Solid.Introduction..months.)",0.39601694788411,0.296609121045782,1.33514757229258,0.181828052040666
"11","fixed",NA,"Dx.StatusCELIAC:month",-0.000564862655848901,0.0168949765377702,-0.0334337638520008,0.973328685045118
"12","fixed",NA,"Dx.StatusCONTROL:month",0.0020395617943885,0.0154896309941213,0.131672716745968,0.895243166470979
"13","ran_pars","patientID","sd__(Intercept)",0.957518251774145,NA,NA,NA
