"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",17.2391677152878,98.5359575329283,0.174953064311847,0.861116513923312
"2","fixed",NA,"Dx.StatusCONTROL",0.389444042400316,0.583510765153102,0.667415351451371,0.504506862769408
"3","fixed",NA,"month",-0.0170646305891418,0.0133932597950132,-1.27412077793754,0.202620615776154
"4","fixed",NA,"CountryUSA",-0.305632935382622,0.494298509323586,-0.618316522541936,0.536366712592572
"5","fixed",NA,"SexMale",0.392333130147627,0.364762791399543,1.07558429587157,0.282113213882426
"6","fixed",NA,"Delivery.ModeVaginal",-0.790037773219527,0.457050232044066,-1.72855786482427,0.0838882562589954
"7","fixed",NA,"HLA.CategoryLow/No Risk",-0.815069989888235,0.558478414379818,-1.4594476149868,0.14444194883176
"8","fixed",NA,"HLA.CategoryStandard Risk",-0.356943103835491,0.391122045249219,-0.912613104198844,0.361446059886717
"9","fixed",NA,"feeding_first_yearBreastmilk_and_formula",0.436587228947608,0.34641525874541,1.26030022617586,0.207561078437447
"10","fixed",NA,"feeding_first_yearFormula",0.173363648456952,0.423475491926065,0.409382955477431,0.682258646008774
"11","fixed",NA,"Age.at.Gluten.Introduction..months.11",0.0285298590477282,0.944381156206789,0.0302101104625186,0.975899485229799
"12","fixed",NA,"Age.at.Gluten.Introduction..months.15",0.327584203858139,0.804694359006807,0.407091462977893,0.683940813284883
"13","fixed",NA,"Age.at.Gluten.Introduction..months.36",0.0419715290900461,1.12347952554672,0.0373585171208362,0.970199148106187
"14","fixed",NA,"Age.at.Gluten.Introduction..months.4",-23.1767500348449,362.03871318133,-0.0640173251948242,0.948956431593145
"15","fixed",NA,"Age.at.Gluten.Introduction..months.5",-0.245218449226059,0.992999527819321,-0.246947196203176,0.804949089883551
"16","fixed",NA,"Age.at.Gluten.Introduction..months.6",0.210235710251643,0.640155903543615,0.328413296023473,0.742599191225292
"17","fixed",NA,"Age.at.Gluten.Introduction..months.7",-0.433183490959535,0.528230061234519,-0.820065957524545,0.41217850760323
"18","fixed",NA,"Age.at.Gluten.Introduction..months.8",-0.641996006763583,0.646795375848024,-0.992579772113942,0.320914786431161
"19","fixed",NA,"Age.at.Gluten.Introduction..months.9",-0.323399704660074,0.719890877196363,-0.449234342181921,0.653262616216265
"20","fixed",NA,"Age.at.Solid.Introduction..months.4",-16.9653247110836,98.5361869357266,-0.172173545969968,0.863301094553967
"21","fixed",NA,"Age.at.Solid.Introduction..months.5",-16.3762311404842,98.5355401649201,-0.166196187822943,0.868002559404996
"22","fixed",NA,"Age.at.Solid.Introduction..months.6",-16.5169564688676,98.5353056250962,-0.167624755046793,0.866878495041664
"23","fixed",NA,"Age.at.Solid.Introduction..months.7",-16.5523781758249,98.5356518066071,-0.167983647262127,0.866596143859003
"24","fixed",NA,"Age.at.Solid.Introduction..months.8",-15.6320147803758,98.5395708539508,-0.158636927732764,0.873954933061332
"25","fixed",NA,"Dx.StatusCONTROL:month",-0.00554465840230808,0.0184579417946702,-0.300394186090084,0.763876497863934
"26","ran_pars","patientID","sd__(Intercept)",3.01237735719853e-05,NA,NA,NA
