"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-621.119321687329,468484.484732141,-0.00132580553236989,0.998942160545
"2","fixed",NA,"CountryUSA",245.711102470286,257355.613694093,0.000954753226258942,0.999238217257126
"3","fixed",NA,"SexMale",-80.1040185671525,8886205.89283678,-9.01442297569594e-06,0.999992807531083
"4","fixed",NA,"Delivery.ModeVaginal",-359.086770732641,341868.913378614,-0.00105036391634404,0.999161931002027
"5","fixed",NA,"HLA.CategoryLow/No Risk",-437.175823906107,10675354.4537035,-4.09518790033659e-05,0.999967325128016
"6","fixed",NA,"HLA.CategoryStandard Risk",-123.055888301245,154980.609788764,-0.000794008285739536,0.999366473114227
"7","fixed",NA,"feeding_first_yearBreastmilk_and_formula",-186.728090199962,6172863.52193192,-3.02498329238164e-05,0.999975864125347
"8","fixed",NA,"feeding_first_yearFormula",-618.502779431966,9299836.80047615,-6.65068422921463e-05,0.999946935217386
"9","fixed",NA,"as.numeric(Age.at.Gluten.Introduction..months.)",-11.0433806790194,42557.0773084318,-0.000259495749648941,0.999792952350085
"10","fixed",NA,"as.numeric(Age.at.Solid.Introduction..months.)",133.25561200911,97978.5990285158,0.00136004814653787,0.998914838916472
"11","fixed",NA,"Dx.StatusCELIAC:month",-0.0477126333600651,0.0805033837829894,-0.592678607009646,0.553396261081392
"12","fixed",NA,"Dx.StatusCONTROL:month",-6.70047286423713,5537.60937922916,-0.00120999377265029,0.999034564885715
"13","ran_pars","patientID","sd__(Intercept)",0,NA,NA,NA
