"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-3.09901183211159,1.66986969579412,-1.85584051253641,0.0634762941564609
"2","fixed",NA,"CountryUSA",1.14522530802059,0.671076750612883,1.70654892599792,0.0879059251263199
"3","fixed",NA,"SexMale",0.197834354433564,0.454195466729763,0.435570957715595,0.66314804593022
"4","fixed",NA,"Delivery.ModeVaginal",1.02621155117836,0.776178623165118,1.32213323138643,0.186123789684295
"5","fixed",NA,"HLA.CategoryLow/No Risk",0.0798574093716185,0.656644049270162,0.121614456813212,0.903204363597888
"6","fixed",NA,"HLA.CategoryStandard Risk",0.0256206594965927,0.455356108963594,0.0562651054685664,0.955130616581634
"7","fixed",NA,"feeding_first_yearBreastmilk_and_formula",-0.130485565090178,0.451569676549047,-0.288959980854706,0.772612002409997
"8","fixed",NA,"feeding_first_yearFormula",0.442257966279118,0.575621839544631,0.768313388923853,0.442301022146574
"9","fixed",NA,"as.numeric(Age.at.Gluten.Introduction..months.)",0.0111037737619096,0.0339301655886395,0.327253745134311,0.743475973967556
"10","fixed",NA,"as.numeric(Age.at.Solid.Introduction..months.)",-0.119137684677519,0.220945250873987,-0.539218128501288,0.589736352957001
"11","fixed",NA,"Dx.StatusCELIAC:month",-0.00183102986529603,0.0129072127011747,-0.141860981738481,0.88718981461218
"12","fixed",NA,"Dx.StatusCONTROL:month",-0.00873476057525574,0.0142996767460771,-0.610836225906437,0.54130800829613
"13","ran_pars","patientID","sd__(Intercept)",3.61702127659568e-08,NA,NA,NA
