"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-69.0188420234949,70897145.5928048,-9.73506640449281e-07,0.999999223254082
"2","fixed",NA,"Dx.StatusCELIAC",55.4157802534276,18876264.879381,2.93573864361055e-06,0.999997657619462
"3","fixed",NA,"month18",-0.158872214038598,17045668.501677,-9.32038623319278e-09,0.999999992563408
"4","fixed",NA,"month24",-0.491322752114242,18114439.4518593,-2.71232655815807e-08,0.999999978358765
"5","fixed",NA,"month30",-0.526237349541931,18856606.2036826,-2.79073203235883e-08,0.99999997773318
"6","fixed",NA,"month36",71.9321718643546,20265790.1612021,3.54943830426436e-06,0.999997167957978
"7","fixed",NA,"month48",-0.752539011360673,21050901.292865,-3.57485411617857e-08,0.999999971476791
"8","fixed",NA,"month54",-14.182523066821,71301711.1105478,-1.98908593439393e-07,0.999999841293904
"9","fixed",NA,"month60",61.6509760274861,27446324.2578317,2.246237982483e-06,0.999998207761394
"10","fixed",NA,"month72",62.3998970509896,51485563.5940794,1.21198822922403e-06,0.999999032973304
"11","fixed",NA,"month84",60.49967029362,51485563.5940794,1.17508027630054e-06,0.99999906242159
"12","fixed",NA,"CountryUSA",1.00080441934967,15323352.2098469,6.53123680539395e-08,0.99999994788827
"13","fixed",NA,"SexMale",11.9135880083127,11463990.1428545,1.03921827041508e-06,0.999999170823787
"14","fixed",NA,"Delivery.ModeVaginal",2.54762687443007,14465183.9547969,1.76121291121585e-07,0.999999859475541
"15","fixed",NA,"HLA.CategoryLow/No Risk",-52.6500097056852,16851083.8562282,-3.12442868096142e-06,0.999997507066594
"16","fixed",NA,"HLA.CategoryStandard Risk",3.50691988485288,11857177.4999249,2.95763463511877e-07,0.999999764014899
"17","fixed",NA,"feeding_first_yearBreastmilk_and_formula",-2.13008123253815,10522386.0775008,-2.02433290020857e-07,0.999999838481603
"18","fixed",NA,"feeding_first_yearFormula",2.69801583714884,12978472.6247461,2.07883925571067e-07,0.999999834132625
"19","fixed",NA,"Age.at.Gluten.Introduction..months.11",13.8796278855544,29887469.9321193,4.64396214101695e-07,0.999999629465431
"20","fixed",NA,"Age.at.Gluten.Introduction..months.15",69.6141313121714,25605150.8854537,2.71875497330966e-06,0.999997830747382
"21","fixed",NA,"Age.at.Gluten.Introduction..months.36",65.5589299692464,33708252.7424921,1.94489255999329e-06,0.999998448200254
"22","fixed",NA,"Age.at.Gluten.Introduction..months.4",16.2297032413949,40055976.649674,4.05175571758953e-07,0.999999676716667
"23","fixed",NA,"Age.at.Gluten.Introduction..months.5",2.94335445327785,30855866.2676298,9.53904333052433e-08,0.999999923889446
"24","fixed",NA,"Age.at.Gluten.Introduction..months.6",7.73684415064782,20130814.0658326,3.84328429309737e-07,0.99999969335028
"25","fixed",NA,"Age.at.Gluten.Introduction..months.7",5.30030016103433,16686354.8894406,3.17642780352732e-07,0.99999974655773
"26","fixed",NA,"Age.at.Gluten.Introduction..months.8",6.90501670055823,19780887.6263291,3.49075169476591e-07,0.999999721478312
"27","fixed",NA,"Age.at.Gluten.Introduction..months.9",13.5654180042371,22399989.2728713,6.05599308061555e-07,0.999999516801662
"28","fixed",NA,"Age.at.Solid.Introduction..months.4",-56.4848247509102,72382996.5389933,-7.80360408545416e-07,0.999999377362478
"29","fixed",NA,"Age.at.Solid.Introduction..months.5",-53.8916453455721,70899863.2596834,-7.60109298775151e-07,0.999999393520526
"30","fixed",NA,"Age.at.Solid.Introduction..months.6",-55.8302995206444,71255737.1109748,-7.83520061461064e-07,0.99999937484144
"31","fixed",NA,"Age.at.Solid.Introduction..months.7",-56.6286678258208,70917350.1818772,-7.98516409321398e-07,0.999999362876085
"32","fixed",NA,"Age.at.Solid.Introduction..months.8",-41.3794455700047,80131379.9019008,-5.16395020535808e-07,0.999999587976386
"33","fixed",NA,"Dx.StatusCELIAC:month18",0.303325354407823,24896040.2427082,1.21836786674003e-08,0.999999990278831
"34","fixed",NA,"Dx.StatusCELIAC:month24",2.21697969299241,26874548.4567633,8.24936536723271e-08,0.999999934179587
"35","fixed",NA,"Dx.StatusCELIAC:month30",2.41464146227346,27148508.5983638,8.89419561860939e-08,0.999999929034586
"36","fixed",NA,"Dx.StatusCELIAC:month36",-69.6162790835165,29000482.8835175,-2.40052137625209e-06,0.999998084661056
"37","fixed",NA,"Dx.StatusCELIAC:month48",2.88179318794856,29798672.1663932,9.67087785608994e-08,0.999999922837559
"38","fixed",NA,"Dx.StatusCELIAC:month54",14.0076126554573,101050886.388195,1.38619394209428e-07,0.999999889397726
"39","fixed",NA,"Dx.StatusCELIAC:month60",-59.636923858473,38768617.2317306,-1.53827833223988e-06,0.999998772631469
"40","fixed",NA,"Dx.StatusCELIAC:month72",-58.8104539321774,72359524.5801022,-8.1275345952659e-07,0.999999351516563
"41","fixed",NA,"Dx.StatusCELIAC:month84",-58.8104539321773,72359524.5801022,-8.12753459526589e-07,0.999999351516563
"42","ran_pars","patientID","sd__(Intercept)",0.199203572889323,NA,NA,NA
