"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-4.87407545438759,4.28624756639317,-1.13714277556046,0.255478604474441
"2","fixed",NA,"CountryUSA",-1.74934304785947,1.1841268428996,-1.47732741500548,0.139587892631708
"3","fixed",NA,"SexMale",0.128000532451939,1.15623111343049,0.110704971493256,0.911850303534846
"4","fixed",NA,"Delivery.ModeVaginal",-0.511331784052267,1.26132546086633,-0.405392422429231,0.685189080045397
"5","fixed",NA,"HLA.CategoryLow/No Risk",1.53717232467001,1.27865152400953,1.2021823740137,0.229292876779298
"6","fixed",NA,"HLA.CategoryStandard Risk",-2.39614853641372,1.44442362492292,-1.65889597419288,0.0971367560251599
"7","fixed",NA,"feeding_first_yearBreastmilk_and_formula",-0.314040848472362,1.29775471940247,-0.241987830039991,0.808789593254534
"8","fixed",NA,"feeding_first_yearFormula",1.33028805718255,1.26790451458454,1.04920208255466,0.294085120374175
"9","fixed",NA,"as.numeric(Age.at.Gluten.Introduction..months.)",0.0197082429892259,0.0673203075822012,0.292753311698127,0.769710717277939
"10","fixed",NA,"as.numeric(Age.at.Solid.Introduction..months.)",0.220185992167668,0.545231777951666,0.403839249786331,0.686330931789149
"11","fixed",NA,"Dx.StatusCELIAC:month",0.0395444166996174,0.0257333816927167,1.53669724297486,0.124367466589402
"12","fixed",NA,"Dx.StatusCONTROL:month",0.0355712176251985,0.0208598531651526,1.70524774760266,0.0881482283191985
"13","ran_pars","patientID","sd__(Intercept)",0,NA,NA,NA
