"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-56.6548898144552,70902393.5424126,-7.9905468608144e-07,0.999999362446603
"2","fixed",NA,"Dx.StatusCELIAC",-9.4533864084699,18871234.4843612,-5.00941600630528e-07,0.999999600306431
"3","fixed",NA,"month18",0.268191069310748,17045668.501677,1.57336785755491e-08,0.999999987446341
"4","fixed",NA,"month24",-0.753266599357574,18114597.185087,-4.15834032444127e-08,0.999999966821245
"5","fixed",NA,"month30",72.36998788441,18714647.5270794,3.86702382610699e-06,0.999996914561393
"6","fixed",NA,"month36",-1.37506230198974,20587285.617479,-6.67918212987868e-08,0.999999946707837
"7","fixed",NA,"month48",-1.37862954750986,21050322.7625644,-6.54920859437651e-08,0.999999947744876
"8","fixed",NA,"month54",-15.0224852488083,71385577.6140596,-2.10441461019285e-07,0.999999832092007
"9","fixed",NA,"month60",61.5892014452436,27446171.9404903,2.24399969433928e-06,0.999998209547289
"10","fixed",NA,"month72",61.9554386509501,51484898.9823588,1.20337108308553e-06,0.999999039848792
"11","fixed",NA,"month84",62.3224463036212,51484898.9823588,1.21049953550411e-06,0.99999903416111
"12","fixed",NA,"CountryUSA",3.3812561904199,15323217.2100515,2.20662289391937e-07,0.999999823936966
"13","fixed",NA,"SexMale",10.3371593640244,11490630.4246614,8.996163815206e-07,0.999999282209979
"14","fixed",NA,"Delivery.ModeVaginal",12.1693172696756,14468367.2505065,8.41098173620768e-07,0.999999328900753
"15","fixed",NA,"HLA.CategoryLow/No Risk",-50.5852673098368,16857714.1486288,-3.00071924721485e-06,0.999997605772441
"16","fixed",NA,"HLA.CategoryStandard Risk",0.210872839970277,11861083.9161071,1.77785471767817e-08,0.999999985814772
"17","fixed",NA,"feeding_first_yearBreastmilk_and_formula",0.0633579456345823,10524343.7057208,6.02013269484371e-09,0.999999995196629
"18","fixed",NA,"feeding_first_yearFormula",-9.80309475952571,12967520.3103971,-7.55972963594726e-07,0.999999396820844
"19","fixed",NA,"Age.at.Gluten.Introduction..months.11",93.6261518807825,29280836.6179515,3.19752311391889e-06,0.999997448745675
"20","fixed",NA,"Age.at.Gluten.Introduction..months.15",73.1674978308129,25709687.0177851,2.84591165112971e-06,0.999997729291032
"21","fixed",NA,"Age.at.Gluten.Introduction..months.36",71.3384123502339,33716796.9092517,2.11581226242339e-06,0.999998311826062
"22","fixed",NA,"Age.at.Gluten.Introduction..months.4",75.6027066240211,40047747.0798892,1.88781422518488e-06,0.999998493742176
"23","fixed",NA,"Age.at.Gluten.Introduction..months.5",21.5201875202373,30856252.8667808,6.97433600027485e-07,0.999999443528498
"24","fixed",NA,"Age.at.Gluten.Introduction..months.6",11.7182798296044,20131619.0791991,5.82083327898464e-07,0.9999995355647
"25","fixed",NA,"Age.at.Gluten.Introduction..months.7",13.7712565958332,16687355.6783114,8.25250978124216e-07,0.999999341544986
"26","fixed",NA,"Age.at.Gluten.Introduction..months.8",5.98998980071965,19780108.206931,3.02828970299604e-07,0.99999975837744
"27","fixed",NA,"Age.at.Gluten.Introduction..months.9",17.2458137055005,22399916.7020111,7.69905260583053e-07,0.999999385704479
"28","fixed",NA,"Age.at.Solid.Introduction..months.4",-127.198613703727,72371829.541273,-1.75757079114861e-06,0.999998597661401
"29","fixed",NA,"Age.at.Solid.Introduction..months.5",-86.2813673791698,70900170.1181844,-1.21694161290934e-06,0.999999029021076
"30","fixed",NA,"Age.at.Solid.Introduction..months.6",-79.2107789865174,71259092.4200285,-1.11158837835905e-06,0.999999113080795
"31","fixed",NA,"Age.at.Solid.Introduction..months.7",-81.7626528922265,70912948.1657455,-1.15300033360793e-06,0.999999080038835
"32","fixed",NA,"Age.at.Solid.Introduction..months.8",-62.934402775479,80129489.467267,-7.85408757673263e-07,0.999999373334478
"33","fixed",NA,"Dx.StatusCELIAC:month18",71.5425493711363,24817346.3177508,2.88276387229866e-06,0.999997699887214
"34","fixed",NA,"Dx.StatusCELIAC:month24",-0.616255310301812,26871604.4256744,-2.29333277068121e-08,0.999999981701852
"35","fixed",NA,"Dx.StatusCELIAC:month30",-73.5178120587326,27048011.2466878,-2.71804870932e-06,0.999997831310899
"36","fixed",NA,"Dx.StatusCELIAC:month36",-0.147784342480878,29213691.0187524,-5.05873572723194e-09,0.999999995963713
"37","fixed",NA,"Dx.StatusCELIAC:month48",-0.0412300770650597,29797298.4491616,-1.38368507250428e-09,0.999999998895979
"38","fixed",NA,"Dx.StatusCELIAC:month54",108.782746907483,101103287.146036,1.07595657844789e-06,0.999999141510858
"39","fixed",NA,"Dx.StatusCELIAC:month60",-63.2770497300126,38763038.5598708,-1.63240685149796e-06,0.999998697527776
"40","fixed",NA,"Dx.StatusCELIAC:month72",0.14865370146567,72358671.3351797,2.05440065057409e-09,0.999999998360825
"41","fixed",NA,"Dx.StatusCELIAC:month84",0.154554277988803,72358671.3351797,2.13594687598501e-09,0.999999998295761
"42","ran_pars","patientID","sd__(Intercept)",0.19898218744985,NA,NA,NA
