"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-0.198028012269744,1.48555765090993,-0.133302138862432,0.893954436130401
"2","fixed",NA,"CountryUSA",0.121101170551697,0.569633525685835,0.212594879147768,0.831642965992694
"3","fixed",NA,"SexMale",0.495582278182838,0.444178232497518,1.11572842144084,0.264538400950418
"4","fixed",NA,"Delivery.ModeVaginal",-1.01025266594807,0.567429426211719,-1.78040231838651,0.0750101426310425
"5","fixed",NA,"HLA.CategoryLow/No Risk",-0.695616526295917,0.783577978624721,-0.887743843333643,0.374678556306713
"6","fixed",NA,"HLA.CategoryStandard Risk",0.0122727145582191,0.490093852617357,0.025041559882207,0.98002181399927
"7","fixed",NA,"feeding_first_yearBreastmilk_and_formula",-0.314246108768296,0.449000102770369,-0.699879814791513,0.484002364211462
"8","fixed",NA,"feeding_first_yearFormula",0.239522295338229,0.52661318156819,0.454835358706671,0.649227690233123
"9","fixed",NA,"as.numeric(Age.at.Gluten.Introduction..months.)",0.0564819434584882,0.0429673155971338,1.3145327482887,0.188666985024642
"10","fixed",NA,"as.numeric(Age.at.Solid.Introduction..months.)",-0.136490604139404,0.199600092620194,-0.683820344708571,0.494088618046525
"11","fixed",NA,"Dx.StatusCELIAC:month",-0.0193424271039617,0.0140035833867582,-1.38124839691046,0.167202598708658
"12","fixed",NA,"Dx.StatusCONTROL:month",-0.018275353185982,0.0133420256286358,-1.36975851303702,0.170762296537555
"13","ran_pars","patientID","sd__(Intercept)",0.608572493272155,NA,NA,NA
