"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-2.79008063078616,5.31791358866326,-0.524657007728381,0.599821649148563
"2","fixed",NA,"CountryUSA",20.9708142848958,54328.0477620033,0.000386003457675551,0.999692013808352
"3","fixed",NA,"SexMale",-0.469838083046253,1.54552960791039,-0.303998112130308,0.761129329439728
"4","fixed",NA,"Delivery.ModeVaginal",-21.3345877905819,54328.0477620057,-0.000392699326948799,0.999686671278043
"5","fixed",NA,"HLA.CategoryLow/No Risk",-25.2771009203408,54328.0491870014,-0.000465267965601619,0.999628769887004
"6","fixed",NA,"HLA.CategoryStandard Risk",0.589541719990475,1.73200321195813,0.34038142419145,0.733569305794395
"7","fixed",NA,"feeding_first_yearBreastmilk_and_formula",0.618540459267694,1.53184074658609,0.403789010473964,0.686367878386548
"8","fixed",NA,"feeding_first_yearFormula",1.24510511276197,1.75108304062718,0.711048581862806,0.477054131109182
"9","fixed",NA,"as.numeric(Age.at.Gluten.Introduction..months.)",0.10936427276518,0.282847026243048,0.386655197397072,0.69901148845136
"10","fixed",NA,"as.numeric(Age.at.Solid.Introduction..months.)",-0.394160282682948,0.706044664649303,-0.558265365377034,0.576663191623974
"11","fixed",NA,"Dx.StatusCELIAC:month",-0.0253960777848168,0.0514720492228814,-0.493395506264927,0.621733156937327
"12","fixed",NA,"Dx.StatusCONTROL:month",-0.0311336353942632,0.0492332647877072,-0.632369913482497,0.527145188923321
"13","ran_pars","patientID","sd__(Intercept)",1.15933595268602,NA,NA,NA
