"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-1.14471947512008,1.87443234759249,-0.610701942158835,0.541396920044859
"2","fixed",NA,"CountryUSA",0.127079823237809,0.876538389227173,0.1449791872206,0.88472730435206
"3","fixed",NA,"SexMale",0.113885248732775,0.53646677410788,0.212287608905809,0.831882661795206
"4","fixed",NA,"Delivery.ModeVaginal",-1.33574531331834,0.852875371498163,-1.56616706022588,0.117309512003436
"5","fixed",NA,"HLA.CategoryLow/No Risk",-2.42763704184475,1.44002438289438,-1.68583051140101,0.0918284491742847
"6","fixed",NA,"HLA.CategoryStandard Risk",-0.843538676745561,0.599575735076096,-1.40689261989313,0.15945923231824
"7","fixed",NA,"feeding_first_yearBreastmilk_and_formula",0.948360736188069,0.551119577478616,1.72078941656698,0.0852890435983111
"8","fixed",NA,"feeding_first_yearFormula",-0.281283012348772,0.777326865608206,-0.361859373184904,0.717457120930029
"9","fixed",NA,"as.numeric(Age.at.Gluten.Introduction..months.)",0.0082980093777154,0.0910424806938897,0.0911443681506837,0.92737787864748
"10","fixed",NA,"as.numeric(Age.at.Solid.Introduction..months.)",0.025435101769543,0.256009932398127,0.0993520115851921,0.920858783381886
"11","fixed",NA,"Dx.StatusCELIAC:month",-0.0217640211302738,0.0203323983967734,-1.07041091294609,0.284434389290347
"12","fixed",NA,"Dx.StatusCONTROL:month",-0.0168523993076737,0.020424552620153,-0.82510494212957,0.409312014152357
"13","ran_pars","patientID","sd__(Intercept)",4.43879724650134e-09,NA,NA,NA
