"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-63.9601989544397,70923175.5860559,-9.01823676476985e-07,0.999999280448812
"2","fixed",NA,"Dx.StatusCELIAC",60.9028638939705,18880027.3660172,3.22578260684048e-06,0.999997426197861
"3","fixed",NA,"month18",4.8556765901808e-13,17045668.501677,2.84862784331578e-20,1
"4","fixed",NA,"month24",-0.401317794690113,18115208.9420171,-2.21536387449157e-08,0.999999982323954
"5","fixed",NA,"month30",73.394888517584,18857313.8193381,3.892117892333e-06,0.999996894539225
"6","fixed",NA,"month36",-0.816260144582609,20589031.8366595,-3.96453874596098e-08,0.999999968367557
"7","fixed",NA,"month48",-0.871108406348556,21052215.3480064,-4.13784673939814e-08,0.99999996698476
"8","fixed",NA,"month54",-15.4265425483056,71601317.1342346,-2.15450541494714e-07,0.999999828095339
"9","fixed",NA,"month60",61.967825958564,27446325.6860696,2.25778221345001e-06,0.99999819855043
"10","fixed",NA,"month72",61.9687202981917,51487384.1490036,1.20357095864213e-06,0.999999039689314
"11","fixed",NA,"month84",61.9687202981917,51487384.1490036,1.20357095864213e-06,0.999999039689314
"12","fixed",NA,"CountryUSA",1.54759707718492,15323600.3384416,1.00994351392899e-07,0.999999919418166
"13","fixed",NA,"SexMale",7.52440221561857,11530815.2261551,6.52547288985357e-07,0.999999479342593
"14","fixed",NA,"Delivery.ModeVaginal",1.69774499368198,14479177.0062814,1.17254246767303e-07,0.999999906444647
"15","fixed",NA,"HLA.CategoryLow/No Risk",-55.6042591326402,16873109.1254767,-3.29543646752592e-06,0.999997370622121
"16","fixed",NA,"HLA.CategoryStandard Risk",4.03072195909514,11875715.6602587,3.39408762756394e-07,0.999999729190988
"17","fixed",NA,"feeding_first_yearBreastmilk_and_formula",-3.58325936130199,10551420.9508683,-3.39599697328644e-07,0.999999729038645
"18","fixed",NA,"feeding_first_yearFormula",-0.16099374377515,12978485.7279552,-1.24046631594605e-08,0.999999990102511
"19","fixed",NA,"Age.at.Gluten.Introduction..months.11",7.01209026756124,29890734.0989149,2.34590767973671e-07,0.999999812823648
"20","fixed",NA,"Age.at.Gluten.Introduction..months.15",71.2013003884619,26087184.0021135,2.72935938132278e-06,0.999997822286289
"21","fixed",NA,"Age.at.Gluten.Introduction..months.36",63.1839278492835,33729203.5925774,1.87327067109252e-06,0.999998505346253
"22","fixed",NA,"Age.at.Gluten.Introduction..months.4",7.22631122895921,40060462.4468693,1.80385117584282e-07,0.9999998560735
"23","fixed",NA,"Age.at.Gluten.Introduction..months.5",-1.68170925913323,30866652.722732,-5.44830459667795e-08,0.999999956528819
"24","fixed",NA,"Age.at.Gluten.Introduction..months.6",2.09193192758585,20135322.7619577,1.03893637679263e-07,0.999999917104871
"25","fixed",NA,"Age.at.Gluten.Introduction..months.7",3.29860647838718,16687531.8169192,1.97668925193765e-07,0.999999842283016
"26","fixed",NA,"Age.at.Gluten.Introduction..months.8",1.98224537559273,19781849.3832512,1.00205260751356e-07,0.999999920047769
"27","fixed",NA,"Age.at.Gluten.Introduction..months.9",4.98950076497057,22401609.174196,2.22729569388162e-07,0.999999822287515
"28","fixed",NA,"Age.at.Solid.Introduction..months.4",-57.9441819435397,72390129.1419248,-8.00443135416115e-07,0.99999936133878
"29","fixed",NA,"Age.at.Solid.Introduction..months.5",-57.9281534578243,70912867.7811785,-8.16891986889853e-07,0.999999348214496
"30","fixed",NA,"Age.at.Solid.Introduction..months.6",-59.1810936548403,71263048.4569452,-8.30459753494766e-07,0.999999337388984
"31","fixed",NA,"Age.at.Solid.Introduction..months.7",-58.8860512652793,70921059.7559148,-8.30304164488577e-07,0.999999337513126
"32","fixed",NA,"Age.at.Solid.Introduction..months.8",-51.8439988014984,80136156.3962287,-6.46948907122007e-07,0.999999483809455
"33","fixed",NA,"Dx.StatusCELIAC:month18",0.212888561127014,24896048.4482149,8.55109844318603e-09,0.999999993177211
"34","fixed",NA,"Dx.StatusCELIAC:month24",1.08439792760887,26875181.1800685,4.03494183106417e-08,0.999999967805822
"35","fixed",NA,"Dx.StatusCELIAC:month30",-70.5417421855064,27149275.2567813,-2.59829190718034e-06,0.999997926863003
"36","fixed",NA,"Dx.StatusCELIAC:month36",2.02510411463666,29216574.6775295,6.93135364767508e-08,0.999999944695799
"37","fixed",NA,"Dx.StatusCELIAC:month48",2.11137125833876,29800452.4391218,7.08503088217199e-08,0.999999943469633
"38","fixed",NA,"Dx.StatusCELIAC:month54",14.3264934036261,101241989.015404,1.41507427332807e-07,0.999999887093408
"39","fixed",NA,"Dx.StatusCELIAC:month60",-61.2516506908265,38768730.0689687,-1.57992409299611e-06,0.999998739402959
"40","fixed",NA,"Dx.StatusCELIAC:month72",-59.6376991434895,72362715.6036368,-8.24149545052345e-07,0.999999342423802
"41","fixed",NA,"Dx.StatusCELIAC:month84",-59.6376991434895,72362715.6036368,-8.24149545052345e-07,0.999999342423802
"42","ran_pars","patientID","sd__(Intercept)",0.2,NA,NA,NA
