"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-66.7714427849367,69582.947631825,-0.000959594915958943,0.999234354149435
"2","fixed",NA,"CountryUSA",-1.28135600508786,1.64585982535761,-0.778532889220653,0.436254925316875
"3","fixed",NA,"SexMale",-27.2747586242592,473984.344091689,-5.7543585488096e-05,0.999954086861591
"4","fixed",NA,"Delivery.ModeVaginal",20.4743768346388,13804.2171113444,0.00148319724831137,0.998816580248843
"5","fixed",NA,"HLA.CategoryLow/No Risk",41.9764539980954,43586.0822674343,0.000963070131895254,0.999231581329576
"6","fixed",NA,"HLA.CategoryStandard Risk",19.4581060210201,41342.5561152335,0.00047065561129759,0.999624471168155
"7","fixed",NA,"feeding_first_yearBreastmilk_and_formula",22.8106104836159,54229.4637043919,0.00042063131230576,0.999664384780018
"8","fixed",NA,"feeding_first_yearFormula",22.0761399050223,54229.4637052019,0.000407087557144783,0.99967519113223
"9","fixed",NA,"as.numeric(Age.at.Gluten.Introduction..months.)",-0.165662638274781,0.597994011731175,-0.27703059733858,0.781756611960369
"10","fixed",NA,"as.numeric(Age.at.Solid.Introduction..months.)",0.802369217652535,1.19778934689855,0.669875065870407,0.502937435817698
"11","fixed",NA,"Dx.StatusCELIAC:month",-3.27275380857554,2442.41478503407,-0.00133996642528918,0.998930861797209
"12","fixed",NA,"Dx.StatusCONTROL:month",-0.048323600149035,0.0525030807619665,-0.920395516753006,0.357366110614636
"13","ran_pars","patientID","sd__(Intercept)",0,NA,NA,NA
