"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-61.3132476488437,70918190.0407316,-8.64563063631893e-07,0.99999931017848
"2","fixed",NA,"Dx.StatusCELIAC",63.4598115210452,18878802.1955656,3.36143209000574e-06,0.999997317965233
"3","fixed",NA,"month18",72.4030585289217,17021376.9013512,4.25365462198151e-06,0.99999660607465
"4","fixed",NA,"month24",-1.38737216901449,18114950.5418326,-7.65871353504748e-08,0.999999938892307
"5","fixed",NA,"month30",-1.37888982069495,18856946.8633875,-7.31237050559966e-08,0.999999941655725
"6","fixed",NA,"month36",-1.57866526266338,20588188.6073508,-7.66782009224324e-08,0.999999938819647
"7","fixed",NA,"month48",-1.50442056543634,21051339.7472418,-7.14643620548406e-08,0.999999942979689
"8","fixed",NA,"month54",-14.667978036956,71538763.0622233,-2.05035387936439e-07,0.99999983640543
"9","fixed",NA,"month60",61.952491180347,27446066.0926265,2.25724484417061e-06,0.999998198979189
"10","fixed",NA,"month72",61.6087597998664,51486140.2795631,1.19660863030981e-06,0.999999045244449
"11","fixed",NA,"month84",61.7008707410232,51486140.2795631,1.19839767374279e-06,0.999999043816998
"12","fixed",NA,"CountryUSA",1.30652069735979,15323166.413679,8.52644069827143e-08,0.999999931968846
"13","fixed",NA,"SexMale",5.63310398606777,11521685.7432184,4.8891317743008e-07,0.999999609903724
"14","fixed",NA,"Delivery.ModeVaginal",3.69693222958688,14475947.1555218,2.55384479500306e-07,0.999999796232667
"15","fixed",NA,"HLA.CategoryLow/No Risk",-54.9248494382182,16869601.9824473,-3.25584738130556e-06,0.999997402209642
"16","fixed",NA,"HLA.CategoryStandard Risk",4.17264959755285,11870783.8095399,3.51505820045303e-07,0.999999719538933
"17","fixed",NA,"feeding_first_yearBreastmilk_and_formula",-4.15356012981908,10544552.2679705,-3.9390578416835e-07,0.999999685708656
"18","fixed",NA,"feeding_first_yearFormula",1.10128440190985,12978424.2409489,8.48550164075488e-08,0.999999932295493
"19","fixed",NA,"Age.at.Gluten.Introduction..months.11",2.95101490055277,29890558.2851951,9.87273262813031e-08,0.999999921226991
"20","fixed",NA,"Age.at.Gluten.Introduction..months.15",69.4793600219203,25989624.4291814,2.67334990589199e-06,0.999997866975385
"21","fixed",NA,"Age.at.Gluten.Introduction..months.36",57.6425828861362,33727683.1997114,1.70905847712153e-06,0.999998636368628
"22","fixed",NA,"Age.at.Gluten.Introduction..months.4",3.69266972802794,40059833.0722037,9.21788595916585e-08,0.999999926451911
"23","fixed",NA,"Age.at.Gluten.Introduction..months.5",-5.13380359843099,30862159.7335044,-1.66346219537502e-07,0.99999986727492
"24","fixed",NA,"Age.at.Gluten.Introduction..months.6",-2.29075280515281,20132570.09577,-1.13783426271746e-07,0.999999909213961
"25","fixed",NA,"Age.at.Gluten.Introduction..months.7",-0.0158088437340714,16687178.9899949,-9.47364665025158e-10,0.999999999244112
"26","fixed",NA,"Age.at.Gluten.Introduction..months.8",-0.38743219782179,19781354.2068102,-1.95857267288812e-08,0.999999984372851
"27","fixed",NA,"Age.at.Gluten.Introduction..months.9",0.643765405906972,22401558.4770648,2.87375276396985e-08,0.99999997707077
"28","fixed",NA,"Age.at.Solid.Introduction..months.4",-57.8332358196705,72388829.4401182,-7.98924865438134e-07,0.999999362550185
"29","fixed",NA,"Age.at.Solid.Introduction..months.5",-57.7816653259035,70910458.2438831,-8.14853926443042e-07,0.999999349840633
"30","fixed",NA,"Age.at.Solid.Introduction..months.6",-59.4179081044023,71262153.6055032,-8.33793326445495e-07,0.999999334729178
"31","fixed",NA,"Age.at.Solid.Introduction..months.7",-59.8664820220608,70920623.7184806,-8.44133608577679e-07,0.999999326478827
"32","fixed",NA,"Age.at.Solid.Introduction..months.8",-56.9064600440276,80135518.7155258,-7.10127805449674e-07,0.999999433399988
"33","fixed",NA,"Dx.StatusCELIAC:month18",-70.0178049326857,24879606.6609403,-2.81426494746841e-06,0.999997754541448
"34","fixed",NA,"Dx.StatusCELIAC:month24",1.07110790374981,26875046.4304996,3.9855108958407e-08,0.999999968200224
"35","fixed",NA,"Dx.StatusCELIAC:month30",1.3219561460611,27149050.1965804,4.86925375469531e-08,0.999999961148976
"36","fixed",NA,"Dx.StatusCELIAC:month36",2.66137367676072,29215878.1185922,9.10934001695159e-08,0.999999927317982
"37","fixed",NA,"Dx.StatusCELIAC:month48",2.1759640890857,29799724.0534095,7.30196053220412e-08,0.999999941738784
"38","fixed",NA,"Dx.StatusCELIAC:month54",13.7817886472584,101201313.751566,1.36181914407659e-07,0.999999891342553
"39","fixed",NA,"Dx.StatusCELIAC:month60",-61.1102196009232,38768552.8838599,-1.5762832258401e-06,0.999998742307951
"40","fixed",NA,"Dx.StatusCELIAC:month72",-59.4750145588451,72361250.8045969,-8.21918000276838e-07,0.999999344204317
"41","fixed",NA,"Dx.StatusCELIAC:month84",-59.5528196959466,72361250.804597,-8.22993232341464e-07,0.999999343346406
"42","ran_pars","patientID","sd__(Intercept)",0.195161875435508,NA,NA,NA
