"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",0.417496446013295,2.15801898644466,0.193462823374469,0.846596518662942
"2","fixed",NA,"CountryUSA",0.277664506631004,0.884569790049954,0.313897795012108,0.753598665134136
"3","fixed",NA,"SexMale",0.42573174641504,0.610783038584462,0.697026144343673,0.485786432360129
"4","fixed",NA,"Delivery.ModeVaginal",-0.262916762556319,0.884058308650865,-0.29739753586791,0.766163024723273
"5","fixed",NA,"HLA.CategoryLow/No Risk",-1.23786198194809,1.19278427413534,-1.03779200379333,0.299366900345195
"6","fixed",NA,"HLA.CategoryStandard Risk",-0.521815832148259,0.66407146398095,-0.785782646072604,0.43199483508586
"7","fixed",NA,"feeding_first_yearBreastmilk_and_formula",0.821536008579189,0.596425939644238,1.37743172114416,0.168378811198124
"8","fixed",NA,"feeding_first_yearFormula",-1.45867377699699,1.12738251449203,-1.29385879082418,0.195714200999218
"9","fixed",NA,"as.numeric(Age.at.Gluten.Introduction..months.)",-0.338040709730149,0.212753024027648,-1.58888791957298,0.112085699022589
"10","fixed",NA,"as.numeric(Age.at.Solid.Introduction..months.)",0.226379610555165,0.312294638067029,0.724891121910896,0.468518827843026
"11","fixed",NA,"Dx.StatusCELIAC:month",-0.10350188810556,0.0389009024205657,-2.66065519474535,0.00779887769397891
"12","fixed",NA,"Dx.StatusCONTROL:month",-0.0650560613030633,0.032213276439401,-2.01954189371098,0.0434309275877186
"13","ran_pars","patientID","sd__(Intercept)",0,NA,NA,NA
