"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-11.5760411248293,70917511.2798842,-1.63232478352816e-07,0.999999869759326
"2","fixed",NA,"Dx.StatusCELIAC",-32.0896948291642,18878920.5975991,-1.69976321809655e-06,0.999998643785171
"3","fixed",NA,"month18",0.39689567631945,17045668.501677,2.32842540778264e-08,0.999999981421853
"4","fixed",NA,"month24",-0.903576341993528,18115158.9775116,-4.98795700945954e-08,0.999999960201861
"5","fixed",NA,"month30",-0.455163938037531,18856960.4296801,-2.41377150752844e-08,0.99999998074089
"6","fixed",NA,"month36",-0.600747900661105,20588660.3725136,-2.91785813060048e-08,0.99999997671886
"7","fixed",NA,"month48",-0.377505274271441,21051981.1409441,-1.7932054553157e-08,0.999999985692291
"8","fixed",NA,"month54",60.5896822971467,71598854.6077053,8.46238150444185e-07,0.999999324799645
"9","fixed",NA,"month60",-0.935352576602629,27446205.1883199,-3.40794864056718e-08,0.999999972808504
"10","fixed",NA,"month72",-1.05686215493962,51487342.9247636,-2.05266400420773e-08,0.999999983622111
"11","fixed",NA,"month84",-1.22372069594224,51487342.9247636,-2.37674081905996e-08,0.999999981036352
"12","fixed",NA,"CountryUSA",34.514962891138,15318673.3530722,2.25313002605515e-06,0.999998202262339
"13","fixed",NA,"SexMale",-33.0527780846677,11517760.2813035,-2.86972269585444e-06,0.999997710292567
"14","fixed",NA,"Delivery.ModeVaginal",3.79558896668382,14477402.7967131,2.62173334539366e-07,0.999999790815944
"15","fixed",NA,"HLA.CategoryLow/No Risk",1.39625143346282,16865118.2755239,8.2789305752405e-08,0.999999933943691
"16","fixed",NA,"HLA.CategoryStandard Risk",-2.07031098166671,11865865.2688359,-1.74476191559675e-07,0.999999860788141
"17","fixed",NA,"feeding_first_yearBreastmilk_and_formula",32.6223919578778,10520157.657892,3.10094135646391e-06,0.999997525806768
"18","fixed",NA,"feeding_first_yearFormula",-4.46427147954913,12977775.2987921,-3.43993587249476e-07,0.999999725532828
"19","fixed",NA,"Age.at.Gluten.Introduction..months.11",-73.8204793959438,29826621.7472982,-2.47498627304753e-06,0.999998025246665
"20","fixed",NA,"Age.at.Gluten.Introduction..months.15",-38.5778436168216,26079325.4471403,-1.47925005556659e-06,0.999998819729219
"21","fixed",NA,"Age.at.Gluten.Introduction..months.36",-39.0136267542236,33716835.2232823,-1.15709634358814e-06,0.999999076770692
"22","fixed",NA,"Age.at.Gluten.Introduction..months.4",-32.9381964090415,40037846.9837275,-8.22676514609503e-07,0.99999934359911
"23","fixed",NA,"Age.at.Gluten.Introduction..months.5",-38.054960094775,30837583.2793514,-1.2340448260826e-06,0.999999015374686
"24","fixed",NA,"Age.at.Gluten.Introduction..months.6",-40.2459275015036,20120356.269061,-2.00025918842151e-06,0.999998404024076
"25","fixed",NA,"Age.at.Gluten.Introduction..months.7",0.0858107115279323,16686651.2042707,5.14247649078745e-09,0.999999995896897
"26","fixed",NA,"Age.at.Gluten.Introduction..months.8",-40.2035670969616,19758099.871617,-2.03478914258932e-06,0.999998376473159
"27","fixed",NA,"Age.at.Gluten.Introduction..months.9",-70.3834331254686,22371122.7254652,-3.14617348396872e-06,0.999997489716752
"28","fixed",NA,"Age.at.Solid.Introduction..months.4",-66.8226090672426,72388502.0851981,-9.23110813767017e-07,0.999999263464134
"29","fixed",NA,"Age.at.Solid.Introduction..months.5",-102.419366085344,70901400.8177687,-1.44453233510271e-06,0.999998847429952
"30","fixed",NA,"Age.at.Solid.Introduction..months.6",-63.5000011857969,71261733.1299719,-8.9108134754429e-07,0.99999928901995
"31","fixed",NA,"Age.at.Solid.Introduction..months.7",-64.7375631450957,70916060.3773958,-9.12875909921957e-07,0.999999271630406
"32","fixed",NA,"Age.at.Solid.Introduction..months.8",-73.3423835104281,80116917.829846,-9.15441900376075e-07,0.999999269583041
"33","fixed",NA,"Dx.StatusCELIAC:month18",71.5606443211379,24820084.499787,2.88317488692482e-06,0.999997699559272
"34","fixed",NA,"Dx.StatusCELIAC:month24",63.3363716979251,26874847.8113524,2.35671554840101e-06,0.99999811961305
"35","fixed",NA,"Dx.StatusCELIAC:month30",63.5958705886051,27148265.919254,2.34253895912747e-06,0.999998130924331
"36","fixed",NA,"Dx.StatusCELIAC:month36",63.2475895745822,29216358.1050096,2.16480060065177e-06,0.999998272739024
"37","fixed",NA,"Dx.StatusCELIAC:month48",63.2383839094141,29800390.732702,2.12206559560369e-06,0.999998306836624
"38","fixed",NA,"Dx.StatusCELIAC:month54",3.84254750412234,101241643.03504,3.79542191229791e-08,0.999999969716915
"39","fixed",NA,"Dx.StatusCELIAC:month60",62.5526917314273,38768659.3274801,1.61348606881251e-06,0.999998712624377
"40","fixed",NA,"Dx.StatusCELIAC:month72",62.2655984168029,72362649.0127539,8.60465989931195e-07,0.999999313447472
"41","fixed",NA,"Dx.StatusCELIAC:month84",62.1524394793575,72362649.0127539,8.58902214433902e-07,0.999999314695184
"42","ran_pars","patientID","sd__(Intercept)",0.200019274631105,NA,NA,NA
