"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",18.5296891838948,70917466.5901187,2.61285266872133e-07,0.99999979152452
"2","fixed",NA,"Dx.StatusCELIAC",65.263865232316,18874444.2962495,3.45779002591798e-06,0.999997241082724
"3","fixed",NA,"month18",71.9151057924745,16910437.3832133,4.2527052472258e-06,0.999996606832142
"4","fixed",NA,"month24",64.2920529195573,18114049.9324668,3.54929202244956e-06,0.999997168074694
"5","fixed",NA,"month30",64.585678097596,18855724.4035768,3.42525573217142e-06,0.999997267041335
"6","fixed",NA,"month36",65.1859286938429,20587179.8442057,3.1663360007121e-06,0.999997473629391
"7","fixed",NA,"month48",66.152520807961,21048991.2710248,3.14278817242058e-06,0.999997492417839
"8","fixed",NA,"month54",98.8793771595575,71598275.1547614,1.38103015674368e-06,0.99999889809736
"9","fixed",NA,"month60",68.1239446054136,27432037.6860857,2.48337164686705e-06,0.999998018556104
"10","fixed",NA,"month72",63.7496323723716,51485269.0989816,1.23821111335383e-06,0.99999901205047
"11","fixed",NA,"month84",63.8643431856721,51485269.0989816,1.24043914508617e-06,0.999999010272758
"12","fixed",NA,"CountryUSA",-71.7250535007965,15108251.3117372,-4.74740934743887e-06,0.999996212115378
"13","fixed",NA,"SexMale",-2.32452701605551,11528978.1619275,-2.01624721931721e-07,0.999999839126747
"14","fixed",NA,"Delivery.ModeVaginal",22.8413292995055,14322277.3822133,1.59481126429459e-06,0.999998727524715
"15","fixed",NA,"HLA.CategoryLow/No Risk",41.7174839115071,16529603.2555395,2.52380430834155e-06,0.999997986295508
"16","fixed",NA,"HLA.CategoryStandard Risk",-33.6935788473001,11874577.7128878,-2.83745491098445e-06,0.999997736038535
"17","fixed",NA,"feeding_first_yearBreastmilk_and_formula",-19.8096077322202,10499884.4640885,-1.88665006743384e-06,0.99999849467104
"18","fixed",NA,"feeding_first_yearFormula",-37.8336089511468,12944305.9574674,-2.92279934323717e-06,0.99999766794353
"19","fixed",NA,"Age.at.Gluten.Introduction..months.11",17.1530589534669,29844148.6744097,5.74754506841572e-07,0.999999541412253
"20","fixed",NA,"Age.at.Gluten.Introduction..months.15",-2.46634852495625,26085501.3075907,-9.45486343495556e-08,0.999999924561104
"21","fixed",NA,"Age.at.Gluten.Introduction..months.36",-43.4357210444037,33659215.9383235,-1.29045552112665e-06,0.999998970365463
"22","fixed",NA,"Age.at.Gluten.Introduction..months.4",6.74562107654134,40000644.646893,1.68637809117541e-07,0.999999865446496
"23","fixed",NA,"Age.at.Gluten.Introduction..months.5",36.1991748268755,30800008.9435603,1.17529754271205e-06,0.999999062248236
"24","fixed",NA,"Age.at.Gluten.Introduction..months.6",-31.5303855567394,20135190.424837,-1.56593431159441e-06,0.999998750565189
"25","fixed",NA,"Age.at.Gluten.Introduction..months.7",-16.7752996952525,16670950.3047609,-1.00625935466089e-06,0.999999197121197
"26","fixed",NA,"Age.at.Gluten.Introduction..months.8",-28.2989823349468,19776106.5406248,-1.43096833933484e-06,0.999998858252455
"27","fixed",NA,"Age.at.Gluten.Introduction..months.9",-13.6758271151572,22398397.2536356,-6.10571683334952e-07,0.999999512834281
"28","fixed",NA,"Age.at.Solid.Introduction..months.4",-93.3835663530044,72349426.5261776,-1.29072987633449e-06,0.999998970146559
"29","fixed",NA,"Age.at.Solid.Introduction..months.5",-71.0130444908403,70902063.3502239,-1.00156527377868e-06,0.999999200866531
"30","fixed",NA,"Age.at.Solid.Introduction..months.6",-85.3540890829064,71248021.2407269,-1.19798539800171e-06,0.999999044145947
"31","fixed",NA,"Age.at.Solid.Introduction..months.7",-100.236020956114,70914285.5321879,-1.41348136280125e-06,0.999998872205044
"32","fixed",NA,"Age.at.Solid.Introduction..months.8",-162.122050435576,80056764.314089,-2.02508872079214e-06,0.999998384212975
"33","fixed",NA,"Dx.StatusCELIAC:month18",-70.8270371892463,24805944.7865847,-2.85524449072991e-06,0.999997721844504
"34","fixed",NA,"Dx.StatusCELIAC:month24",-63.3034786256127,26875090.7911392,-2.35547031701504e-06,0.999998120606601
"35","fixed",NA,"Dx.StatusCELIAC:month30",-63.6397867782139,27148851.0462496,-2.34410607910441e-06,0.999998129673951
"36","fixed",NA,"Dx.StatusCELIAC:month36",-63.909024527523,29216312.6975687,-2.1874431995945e-06,0.999998254672843
"37","fixed",NA,"Dx.StatusCELIAC:month48",-64.0675601938842,29799701.4076027,-2.14993966944712e-06,0.999998284596331
"38","fixed",NA,"Dx.StatusCELIAC:month54",-76.7404154724003,101241820.583884,-7.5799126319362e-07,0.999999395210474
"39","fixed",NA,"Dx.StatusCELIAC:month60",-67.456594022684,38760409.1671634,-1.74034783099842e-06,0.999998611403335
"40","fixed",NA,"Dx.StatusCELIAC:month72",-61.1894940800712,72362528.9255272,-8.45596401737773e-07,0.999999325311686
"41","fixed",NA,"Dx.StatusCELIAC:month84",-61.1270091630655,72362528.9255272,-8.44732903488975e-07,0.999999326000658
"42","ran_pars","patientID","sd__(Intercept)",0.198486125293553,NA,NA,NA
