"","joint_model.statistics.P.gammas"
"Virus",0.0993333333333333
"CountryUSA",0.975555555555556
"SexMale",0
"Delivery.ModeVaginal",0.174222222222222
"HLA.CategoryLow/No Risk",0.403333333333333
"HLA.CategoryStandard Risk",0.359555555555556
"feeding_first_yearBreastmilk_and_formula",0.889111111111111
"feeding_first_yearFormula",0.688888888888889
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.942222222222222
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.0188888888888889
"Age.at.Solid.Introduction..months.5",0
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0
"Age.at.Solid.Introduction..months.8",0
