"","joint_model.statistics.P.gammas"
"Virus",0
"CountryUSA",0.760888888888889
"SexMale",0.00155555555555556
"Delivery.ModeVaginal",0.0788888888888889
"HLA.CategoryLow/No Risk",0.259555555555556
"HLA.CategoryStandard Risk",0.00844444444444444
"feeding_first_yearBreastmilk_and_formula",0.860444444444444
"feeding_first_yearFormula",0.103111111111111
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.937555555555556
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.0757777777777778
"Age.at.Solid.Introduction..months.5",0.0182222222222222
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0
"Age.at.Solid.Introduction..months.8",0
